,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
210,Alien,(1979),R,tt0078748,117 min,"
Horror, Sci-Fi            ",89        ,8.4,"790,850",$78.90M
211,The Naked Gun: From the Files of Police Squad!,(1988),PG-13,tt0095705,85 min,"
Comedy, Crime            ",76        ,7.6,"153,506",$78.76M
212,Man on Fire,(2004),R,tt0328107,146 min,"
Action, Crime, Drama            ",47        ,7.7,"330,624",$77.91M
213,Philadelphia,(1993),PG-13,tt0107818,125 min,"
Drama            ",66        ,7.7,"225,005",$77.32M
214,The Muppet Movie,(1979),G,tt0079588,95 min,"
Adventure, Comedy, Family            ",74        ,7.6,"32,927",$76.66M
215,Training Day,(2001),R,tt0139654,122 min,"
Crime, Drama, Thriller            ",69        ,7.7,"392,180",$76.63M
216,Fantasia,(1940),G,tt0032455,125 min,"
Animation, Family, Fantasy            ",96        ,7.7,"88,916",$76.41M
217,The Untouchables,(1987),R,tt0094226,119 min,"
Crime, Drama, Thriller            ",79        ,7.9,"283,021",$76.27M
218,Moneyball,(2011),PG-13,tt1210166,133 min,"
Biography, Drama, Sport            ",87        ,7.6,"371,617",$75.61M
219,Braveheart,(1995),R,tt0112573,178 min,"
Biography, Drama, History            ",68        ,8.3,"962,084",$75.60M
220,Zombieland,(2009),R,tt1156398,88 min,"
Adventure, Comedy, Fantasy            ",73        ,7.6,"521,344",$75.59M
221,The Last of the Mohicans,(1992),R,tt0104691,112 min,"
Action, Adventure, Drama            ",76        ,7.7,"151,353",$75.51M
222,Ray,(I) (2004),PG-13,tt0350258,152 min,"
Biography, Drama, Music            ",73        ,7.7,"138,809",$75.33M
223,Coraline,(2009),PG,tt0327597,100 min,"
Animation, Drama, Family            ",80        ,7.7,"198,443",$75.29M
224,The Nightmare Before Christmas,(1993),PG,tt0107688,76 min,"
Animation, Family, Fantasy            ",82        ,8.0,"300,917",$75.08M
225,Ben-Hur,(1959),G,tt0052618,212 min,"
Adventure, Drama, History            ",90        ,8.1,"220,164",$74.70M
226,No Country for Old Men,(2007),R,tt0477348,122 min,"
Crime, Drama, Thriller            ",91        ,8.1,"860,889",$74.28M
227,Sin City,(2005),R,tt0401792,124 min,"
Crime, Thriller            ",74        ,8.0,"739,239",$74.10M
228,Bridge of Spies,(2015),PG-13,tt3682448,142 min,"
Drama, History, Thriller            ",81        ,7.6,"288,744",$72.31M
229,My Fair Lady,(1964),G,tt0058385,170 min,"
Drama, Family, Musical            ",95        ,7.8,"86,808",$72.00M
230,The Bridges of Madison County,(1995),PG-13,tt0112579,135 min,"
Drama, Romance            ",69        ,7.6,"73,507",$71.52M
231,Groundhog Day,(1993),PG,tt0107048,101 min,"
Comedy, Fantasy, Romance            ",72        ,8.0,"581,574",$70.91M
232,All the President's Men,(1976),PG,tt0074119,138 min,"
Biography, Drama, History            ",84        ,7.9,"103,676",$70.60M
233,V for Vendetta,(2005),R,tt0434409,132 min,"
Action, Drama, Sci-Fi            ",62        ,8.2,"1,035,933",$70.51M
234,JFK,(1991),R,tt0102138,189 min,"
Drama, History, Thriller            ",72        ,8.0,"142,594",$70.41M
235,The Big Short,(2015),R,tt1596363,130 min,"
Biography, Comedy, Drama            ",81        ,7.8,"367,533",$70.26M
236,Ferris Bueller's Day Off,(1986),PG-13,tt0091042,103 min,"
Comedy            ",61        ,7.8,"322,298",$70.14M
237,Kill Bill: Vol. 1,(2003),R,tt0266697,111 min,"
Action, Crime, Drama            ",69        ,8.1,"1,004,428",$70.10M
238,Seven Pounds,(2008),PG-13,tt0814314,123 min,"
Drama            ",36        ,7.6,"287,376",$69.95M
239,Heat,(1995),R,tt0113277,170 min,"
Crime, Drama, Thriller            ",76        ,8.2,"579,952",$67.44M
240,Hacksaw Ridge,(2016),R,tt2119532,139 min,"
Biography, Drama, History            ",71        ,8.1,"438,861",$67.21M
241,The Godfather Part III,(1990),R,tt0099674,162 min,"
Crime, Drama            ",60        ,7.6,"361,404",$66.67M
242,Big Fish,(2003),PG-13,tt0319061,125 min,"
Adventure, Drama, Fantasy            ",58        ,8.0,"416,297",$66.26M
243,Kill Bill: Volume 2,(2004),R,tt0378194,137 min,"
Action, Crime, Thriller            ",83        ,8.0,"686,343",$66.21M
244,Lethal Weapon,(1987),R,tt0093409,109 min,"
Action, Crime, Thriller            ",68        ,7.6,"237,559",$65.21M
245,L.A. Confidential,(1997),R,tt0119488,138 min,"
Crime, Drama, Mystery            ",90        ,8.2,"533,825",$64.62M
246,Scent of a Woman,(1992),R,tt0105323,156 min,"
Drama            ",59        ,8.0,"265,309",$63.90M
247,The Fifth Element,(1997),PG-13,tt0119116,126 min,"
Action, Adventure, Sci-Fi            ",52        ,7.7,"435,317",$63.54M
248,Patton,(1970),GP,tt0066206,172 min,"
Biography, Drama, War            ",91        ,7.9,"93,939",$61.70M
249,Cinderella Man,(2005),PG-13,tt0352248,144 min,"
Biography, Drama, History            ",69        ,8.0,"176,588",$61.65M
250,The Goonies,(1985),PG,tt0089218,114 min,"
Adventure, Comedy, Family            ",62        ,7.8,"245,473",$61.50M
251,Misery,(1990),R,tt0100157,107 min,"
Drama, Thriller            ",75        ,7.8,"185,542",$61.28M
252,Prisoners,(2013),R,tt1392214,153 min,"
Crime, Drama, Mystery            ",70        ,8.1,"604,471",$61.00M
253,Little Miss Sunshine,(2006),R,tt0449059,101 min,"
Comedy, Drama            ",80        ,7.8,"441,013",$59.89M
254,Predator,(1987),R,tt0093773,107 min,"
Action, Adventure, Sci-Fi            ",45        ,7.8,"372,517",$59.74M
255,The Grand Budapest Hotel,(2014),R,tt2278388,99 min,"
Adventure, Comedy, Crime            ",88        ,8.1,"711,445",$59.10M
256,The Butterfly Effect,(2004),R,tt0289879,113 min,"
Drama, Sci-Fi, Thriller            ",30        ,7.6,"452,599",$57.94M
257,Life Is Beautiful,(1997),PG-13,tt0118799,116 min,"
Comedy, Drama, Romance            ",59        ,8.6,"626,485",$57.60M
258,Boyz n the Hood,(1991),R,tt0101507,112 min,"
Crime, Drama            ",76        ,7.8,"126,643",$57.50M
259,Blood Diamond,(2006),R,tt0450259,143 min,"
Adventure, Drama, Thriller            ",64        ,8.0,"501,128",$57.37M
260,The Godfather: Part II,(1974),R,tt0071562,202 min,"
Crime, Drama            ",90        ,9.0,"1,134,978",$57.30M
261,The Blues Brothers,(1980),R,tt0080455,133 min,"
Action, Adventure, Comedy            ",60        ,7.9,"183,777",$57.23M
262,12 Monkeys,(1995),R,tt0114746,129 min,"
Mystery, Sci-Fi, Thriller            ",74        ,8.0,"580,072",$57.14M
263,2001: A Space Odyssey,(1968),G,tt0062622,149 min,"
Adventure, Sci-Fi            ",84        ,8.3,"605,833",$56.95M
264,Midnight in Paris,(2011),PG-13,tt1605783,94 min,"
Comedy, Fantasy, Romance            ",81        ,7.7,"389,478",$56.82M
265,Guess Who's Coming to Dinner,(1967),Approved,tt0061735,108 min,"
Comedy, Drama            ",63        ,7.8,"39,867",$56.70M
266,12 Years a Slave,(2013),R,tt2024544,134 min,"
Biography, Drama, History            ",96        ,8.1,"643,236",$56.67M
267,Tombstone,(1993),R,tt0108358,130 min,"
Action, Biography, Drama            ",50        ,7.8,"127,299",$56.51M
268,Edward Scissorhands,(1990),PG-13,tt0099487,105 min,"
Drama, Fantasy, Romance            ",74        ,7.9,"448,672",$56.36M
269,Primal Fear,(1996),R,tt0117381,129 min,"
Crime, Drama, Mystery            ",47        ,7.7,"190,641",$56.12M
270,Saw,(2004),R,tt0387564,103 min,"
Horror, Mystery, Thriller            ",46        ,7.6,"380,061",$56.00M
271,Ordinary People,(1980),R,tt0081283,124 min,"
Drama            ",86        ,7.7,"47,295",$54.80M
272,Crash,(I) (2004),R,tt0375679,112 min,"
Crime, Drama, Thriller            ",66        ,7.7,"420,299",$54.58M
273,"Three Billboards Outside Ebbing, Missouri",(2017),R,tt5027774,115 min,"
Comedy, Crime, Drama            ",88        ,8.1,"436,163",$54.51M
274,The Count of Monte Cristo,(2002),PG-13,tt0245844,131 min,"
Action, Adventure, Drama            ",61        ,7.8,"129,332",$54.23M
275,The Hateful Eight,(2015),R,tt3460252,168 min,"
Crime, Drama, Mystery            ",68        ,7.8,"520,099",$54.12M
276,The Verdict,(1982),R,tt0084855,129 min,"
Drama            ",77        ,7.7,"36,248",$54.00M
277,Ying xiong,(2002),PG-13,tt0299977,120 min,"
Action, Adventure, History            ",85        ,7.9,"174,259",$53.71M
278,3:10 to Yuma,(2007),R,tt0381849,122 min,"
Action, Crime, Drama            ",76        ,7.7,"289,571",$53.61M
279,Parasite,(2019),R,tt6751668,132 min,"
Comedy, Drama, Thriller            ",96        ,8.6,"565,186",$53.37M
280,Papillon,(1973),R,tt0070511,151 min,"
Biography, Crime, Drama            ",58        ,8.0,"121,899",$53.27M
281,The Prestige,(2006),PG-13,tt0482571,130 min,"
Drama, Mystery, Sci-Fi            ",66        ,8.5,"1,195,533",$53.09M
282,Blow,(2001),R,tt0221027,124 min,"
Biography, Crime, Drama            ",52        ,7.6,"241,367",$52.99M
283,My Cousin Vinny,(1992),R,tt0104952,120 min,"
Comedy, Crime            ",68        ,7.6,"107,735",$52.93M
284,Gandhi,(1982),PG,tt0083987,191 min,"
Biography, Drama, History            ",79        ,8.0,"218,110",$52.77M
285,The Royal Tenenbaums,(2001),R,tt0265666,110 min,"
Comedy, Drama            ",76        ,7.6,"267,694",$52.36M
286,Stand By Me,(1986),R,tt0092005,89 min,"
Adventure, Drama            ",75        ,8.1,"364,614",$52.29M
287,Awakenings,(1990),PG-13,tt0099077,121 min,"
Biography, Drama            ",74        ,7.8,"126,018",$52.10M
288,"South Park: Bigger, Longer & Uncut",(1999),R,tt0158983,81 min,"
Animation, Comedy, Fantasy            ",73        ,7.7,"192,388",$52.04M
289,Amadeus,(1984),R,tt0086879,160 min,"
Biography, Drama, History            ",88        ,8.3,"370,295",$51.97M
290,Lion,(2016),PG-13,tt3741834,118 min,"
Biography, Drama            ",69        ,8.0,"215,106",$51.74M
291,Finding Neverland,(2004),PG,tt0308644,106 min,"
Biography, Drama, Family            ",67        ,7.6,"199,030",$51.68M
292,Enemy at the Gates,(2001),R,tt0215750,131 min,"
Drama, History, War            ",53        ,7.6,"244,436",$51.40M
293,Goldfinger,(1964),PG,tt0058150,110 min,"
Action, Adventure, Thriller            ",87        ,7.7,"174,686",$51.08M
294,Atonement,(2007),R,tt0783233,123 min,"
Drama, Mystery, Romance            ",85        ,7.8,"252,579",$50.93M
295,Apocalypto,(2006),R,tt0472043,139 min,"
Action, Adventure, Drama            ",68        ,7.8,"291,741",$50.87M
296,The Hurricane,(1999),R,tt0174856,146 min,"
Biography, Drama, Sport            ",74        ,7.6,"91,835",$50.67M
297,Dog Day Afternoon,(1975),R,tt0072890,125 min,"
Biography, Crime, Drama            ",86        ,8.0,"236,463",$50.00M
298,"Planes, Trains and Automobiles",(1987),R,tt0093748,93 min,"
Comedy, Drama            ",72        ,7.6,"125,167",$49.53M
299,Sleepers,(1996),R,tt0117665,147 min,"
Crime, Drama, Thriller            ",49        ,7.6,"187,261",$49.10M
300,The Deer Hunter,(1978),R,tt0077416,183 min,"
Drama, War            ",86        ,8.1,"312,645",$48.98M
301,The Game,(1997),R,tt0119174,129 min,"
Drama, Mystery, Thriller            ",61        ,7.8,"346,409",$48.32M
302,Malcolm X,(1992),PG-13,tt0104797,202 min,"
Biography, Drama, History            ",73        ,7.7,"86,352",$48.17M
303,Kick-Ass,(2010),R,tt1250777,117 min,"
Action, Comedy, Crime            ",66        ,7.6,"525,454",$48.07M
304,Kubo and the Two Strings,(2016),PG,tt4302938,101 min,"
Animation, Action, Adventure            ",84        ,7.8,"118,434",$48.02M
305,Manchester by the Sea,(2016),R,tt4034228,137 min,"
Drama            ",96        ,7.8,"248,465",$47.70M
306,First Blood,(1982),R,tt0083944,93 min,"
Action, Adventure            ",61        ,7.7,"227,289",$47.21M
307,Halloween,(1978),R,tt0077651,91 min,"
Horror, Thriller            ",87        ,7.7,"233,786",$47.00M
308,Sicario,(2015),R,tt3397884,121 min,"
Action, Crime, Drama            ",82        ,7.6,"373,067",$46.89M
309,Goodfellas,(1990),R,tt0099685,146 min,"
Biography, Crime, Drama            ",90        ,8.7,"1,025,783",$46.84M
310,Full Metal Jacket,(1987),R,tt0093058,116 min,"
Drama, War            ",76        ,8.3,"677,648",$46.36M
311,The Breakfast Club,(1985),R,tt0088847,97 min,"
Comedy, Drama            ",66        ,7.8,"358,204",$45.88M
312,Manhattan,(1979),R,tt0079522,96 min,"
Comedy, Drama, Romance            ",83        ,7.9,"131,724",$45.70M
313,Scarface,(1983),R,tt0086250,170 min,"
Crime, Drama            ",65        ,8.3,"744,303",$45.60M
314,"O Brother, Where Art Thou?",(2000),PG-13,tt0190590,107 min,"
Adventure, Comedy, Crime            ",69        ,7.7,"288,133",$45.51M
315,Moonrise Kingdom,(2012),PG-13,tt1748122,94 min,"
Comedy, Drama, Romance            ",84        ,7.8,"319,952",$45.51M
316,The Dirty Dozen,(1967),Not Rated,tt0061578,150 min,"
Action, Adventure, War            ",73        ,7.7,"67,338",$45.30M
317,28 Days Later...,(2002),R,tt0289043,113 min,"
Drama, Horror, Sci-Fi            ",73        ,7.6,"377,791",$45.06M
318,Spotlight,(I) (2015),R,tt1895587,129 min,"
Biography, Crime, Drama            ",93        ,8.1,"422,485",$45.06M
319,The Bridge on the River Kwai,(1957),PG,tt0050212,161 min,"
Adventure, Drama, War            ",87        ,8.1,"204,166",$44.91M
320,Lawrence of Arabia,(1962),Approved,tt0056172,228 min,"
Adventure, Biography, Drama            ",100        ,8.3,"269,092",$44.82M
321,Midnight Cowboy,(1969),R,tt0064665,113 min,"
Drama            ",79        ,7.8,"101,437",$44.79M
322,The Artist,(I) (2011),PG-13,tt1655442,100 min,"
Comedy, Drama, Romance            ",89        ,7.9,"231,136",$44.67M
323,Lost in Translation,(2003),R,tt0335266,102 min,"
Comedy, Drama            ",89        ,7.7,"416,852",$44.59M
324,The Odd Couple,(1968),G,tt0063374,105 min,"
Comedy            ",86        ,7.7,"31,689",$44.53M
325,The Shining,(1980),R,tt0081505,146 min,"
Drama, Horror            ",66        ,8.4,"902,404",$44.02M
326,The Last Emperor,(1987),PG-13,tt0093389,163 min,"
Biography, Drama, History            ",76        ,7.7,"94,780",$43.98M
327,Sense and Sensibility,(1995),PG,tt0114388,136 min,"
Drama, Romance            ",84        ,7.6,"103,063",$43.18M
328,Escape from Alcatraz,(1979),PG,tt0079116,112 min,"
Action, Biography, Crime            ",76        ,7.6,"122,385",$43.00M
329,Cabaret,(1972),PG,tt0068327,124 min,"
Drama, Music, Musical            ",80        ,7.8,"48,507",$42.77M
330,Casino,(1995),R,tt0112641,178 min,"
Crime, Drama            ",73        ,8.2,"468,468",$42.44M
331,Birdman or (The Unexpected Virtue of Ignorance),(2014),R,tt2562232,119 min,"
Comedy, Drama            ",87        ,7.7,"582,295",$42.34M
332,Donnie Brasco,(1997),R,tt0119008,127 min,"
Biography, Crime, Drama            ",76        ,7.7,"280,819",$41.91M
333,End of Watch,(2012),R,tt1855199,109 min,"
Action, Crime, Drama            ",68        ,7.6,"228,734",$41.00M
334,Falling Down,(1993),R,tt0106856,113 min,"
Crime, Drama, Thriller            ",56        ,7.6,"172,322",$40.90M
335,Paddington 2,(2017),PG,tt4468740,103 min,"
Adventure, Comedy, Family            ",88        ,7.8,"62,103",$40.44M
336,I Am Sam,(2001),PG-13,tt0277027,132 min,"
Drama            ",28        ,7.7,"143,159",$40.31M
337,There Will Be Blood,(2007),R,tt0469494,158 min,"
Drama            ",93        ,8.2,"520,076",$40.22M
338,Hannah and Her Sisters,(1986),PG-13,tt0091167,107 min,"
Comedy, Drama            ",90        ,7.9,"67,359",$40.08M
339,The Illusionist,(2006),PG-13,tt0443543,110 min,"
Drama, Fantasy, Mystery            ",68        ,7.6,"355,366",$39.87M
340,Annie Hall,(1977),PG,tt0075686,93 min,"
Comedy, Romance            ",92        ,8.0,"252,346",$39.20M
341,The Longest Day,(1962),G,tt0056197,178 min,"
Action, Drama, History            ",75        ,7.8,"52,221",$39.10M
342,Stardust,(2007),PG-13,tt0486655,127 min,"
Adventure, Family, Fantasy            ",66        ,7.6,"255,676",$38.63M
343,Pride & Prejudice,(2005),PG,tt0414387,129 min,"
Drama, Romance            ",82        ,7.8,"260,577",$38.41M
344,The Terminator,(1984),R,tt0088247,107 min,"
Action, Sci-Fi            ",84        ,8.0,"801,360",$38.40M
345,All That Jazz,(1979),R,tt0078754,123 min,"
Drama, Music, Musical            ",72        ,7.9,"28,334",$37.82M
346,Philomena,(2013),PG-13,tt2431286,98 min,"
Biography, Comedy, Drama            ",77        ,7.6,"94,372",$37.71M
347,Pan's Labyrinth,(2006),R,tt0457430,118 min,"
Drama, Fantasy, War            ",98        ,8.2,"620,556",$37.63M
348,Fight Club,(1999),R,tt0137523,139 min,"
Drama            ",66        ,8.8,"1,862,752",$37.03M
349,Carlito's Way,(1993),R,tt0106519,144 min,"
Crime, Drama, Thriller            ",65        ,7.9,"201,664",$36.95M
350,Rear Window,(1954),PG,tt0047396,112 min,"
Mystery, Thriller            ",100        ,8.4,"445,778",$36.76M
351,The Thin Red Line,(1998),R,tt0120863,170 min,"
Drama, War            ",78        ,7.6,"173,275",$36.40M
352,Dirty Harry,(1971),R,tt0066999,102 min,"
Action, Crime, Thriller            ",90        ,7.7,"143,759",$35.90M
353,The Theory of Everything,(2014),PG-13,tt2980516,123 min,"
Biography, Drama, Romance            ",72        ,7.7,"406,150",$35.89M
354,Shine,(1996),PG-13,tt0117631,105 min,"
Biography, Drama, Music            ",87        ,7.7,"51,460",$35.81M
355,Changeling,(2008),R,tt0824747,141 min,"
Biography, Crime, Drama            ",63        ,7.7,"239,880",$35.74M
356,Children of Men,(2006),R,tt0206634,109 min,"
Adventure, Drama, Sci-Fi            ",84        ,7.9,"466,232",$35.55M
357,Drive,(I) (2011),R,tt0780504,100 min,"
Crime, Drama            ",78        ,7.8,"573,717",$35.06M
358,50/50,(2011),R,tt1306980,100 min,"
Comedy, Drama, Romance            ",72        ,7.6,"315,898",$35.01M
359,The Killing Fields,(1984),R,tt0087553,141 min,"
Biography, Drama, History            ",76        ,7.8,"51,774",$34.70M
360,Mississippi Burning,(1988),R,tt0095647,128 min,"
Crime, Drama, History            ",65        ,7.8,"88,701",$34.60M
361,Eternal Sunshine of the Spotless Mind,(2004),R,tt0338013,108 min,"
Drama, Romance, Sci-Fi            ",89        ,8.3,"915,048",$34.40M
362,Wind River,(2017),R,tt5362988,107 min,"
Crime, Drama, Mystery            ",73        ,7.7,"207,679",$33.80M
363,Planet of the Apes,(1968),G,tt0063442,112 min,"
Adventure, Sci-Fi            ",79        ,8.0,"165,487",$33.40M
364,Amélie,(2001),R,tt0211915,122 min,"
Comedy, Romance            ",69        ,8.3,"705,929",$33.23M
365,Zodiac,(2007),R,tt0443706,157 min,"
Crime, Drama, Mystery            ",78        ,7.7,"469,160",$33.08M
366,Blade Runner,(1982),R,tt0083658,117 min,"
Action, Sci-Fi, Thriller            ",84        ,8.1,"696,121",$32.87M
367,The Pianist,(2002),R,tt0253474,150 min,"
Biography, Drama, Music            ",85        ,8.5,"733,324",$32.57M
368,Almost Famous,(2000),R,tt0181875,122 min,"
Adventure, Comedy, Drama            ",90        ,7.9,"253,459",$32.53M
369,October Sky,(1999),PG,tt0132477,108 min,"
Biography, Drama, Family            ",71        ,7.8,"83,121",$32.48M
370,The Sandlot,(1993),PG,tt0108037,101 min,"
Comedy, Drama, Family            ",55        ,7.8,"79,225",$32.42M
371,500 Days of Summer,(2009),PG-13,tt1022603,95 min,"
Comedy, Drama, Romance            ",76        ,7.7,"473,589",$32.39M
372,Nightcrawler,(2014),R,tt2872718,117 min,"
Crime, Drama, Thriller            ",76        ,7.9,"469,095",$32.38M
373,Isle of Dogs,(2018),PG-13,tt5104604,101 min,"
Animation, Adventure, Comedy            ",82        ,7.9,"140,237",$32.02M
374,Psycho,(1960),R,tt0054215,109 min,"
Horror, Mystery, Thriller            ",97        ,8.5,"606,660",$32.00M
375,The Outlaw Josey Wales,(1976),PG,tt0075029,135 min,"
Western            ",69        ,7.8,"65,868",$31.80M
376,Paper Moon,(1973),PG,tt0070510,102 min,"
Comedy, Crime, Drama            ",77        ,8.1,"42,412",$30.93M
377,The Princess Bride,(1987),PG,tt0093779,98 min,"
Adventure, Family, Fantasy            ",77        ,8.0,"395,093",$30.86M
378,From Here to Eternity,(1953),Passed,tt0045793,118 min,"
Drama, Romance, War            ",85        ,7.6,"43,544",$30.50M
379,Snatch,(2000),R,tt0208092,102 min,"
Comedy, Crime            ",55        ,8.3,"784,601",$30.33M
380,Being There,(1979),PG,tt0078841,130 min,"
Comedy, Drama            ",83        ,8.0,"65,837",$30.18M
381,Spartacus,(1960),PG-13,tt0054331,197 min,"
Adventure, Biography, Drama            ",87        ,7.9,"124,685",$30.00M
382,Serpico,(1973),R,tt0070666,130 min,"
Biography, Crime, Drama            ",87        ,7.7,"110,398",$29.80M
383,The Last Picture Show,(1971),R,tt0067328,118 min,"
Drama, Romance            ",93        ,8.0,"42,764",$29.13M
384,The Insider,(1999),R,tt0140352,157 min,"
Biography, Drama, Thriller            ",84        ,7.8,"160,387",$28.97M
385,A Man for All Seasons,(1966),G,tt0060665,120 min,"
Biography, Drama, History            ",72        ,7.7,"31,346",$28.35M
386,The Shawshank Redemption,(1994),R,tt0111161,142 min,"
Drama            ",80        ,9.3,"2,353,109",$28.34M
387,Taxi Driver,(1976),R,tt0075314,114 min,"
Crime, Drama            ",94        ,8.2,"728,316",$28.26M
388,Do the Right Thing,(1989),R,tt0097216,120 min,"
Comedy, Drama            ",93        ,8.0,"90,155",$27.55M
389,Dallas Buyers Club,(2013),R,tt0790636,117 min,"
Biography, Drama            ",80        ,8.0,"443,719",$27.30M
390,The Muppet Christmas Carol,(1992),G,tt0104940,85 min,"
Comedy, Drama, Family            ",64        ,7.7,"50,419",$27.28M
391,Rush,(I) (2013),R,tt1979320,123 min,"
Action, Biography, Drama            ",74        ,8.1,"434,359",$26.95M
392,Hell or High Water,(II) (2016),R,tt2582782,102 min,"
Action, Crime, Drama            ",88        ,7.6,"205,055",$26.86M
393,Glory,(1989),R,tt0097441,122 min,"
Biography, Drama, History            ",78        ,7.8,"123,517",$26.83M
394,Boogie Nights,(1997),R,tt0118749,155 min,"
Drama            ",85        ,7.9,"240,375",$26.40M
395,The Wrestler,(2008),R,tt1125849,109 min,"
Drama, Sport            ",80        ,7.9,"289,940",$26.24M
396,Searching,(III) (2018),PG-13,tt7668870,102 min,"
Drama, Mystery, Thriller            ",71        ,7.6,"141,781",$26.02M
397,Her,(2013),R,tt1798709,126 min,"
Drama, Romance, Sci-Fi            ",90        ,8.0,"543,415",$25.57M
398,Memento,(2000),R,tt0209144,113 min,"
Mystery, Thriller            ",80        ,8.4,"1,129,736",$25.54M
399,Serenity,(2005),PG-13,tt0379786,119 min,"
Action, Adventure, Sci-Fi            ",74        ,7.8,"283,761",$25.51M
400,Ex Machina,(2014),R,tt0470752,108 min,"
Drama, Sci-Fi, Thriller            ",78        ,7.7,"475,952",$25.44M
401,Boyhood,(I) (2014),R,tt1065073,165 min,"
Drama            ",100        ,7.9,"336,282",$25.38M
402,In the Name of the Father,(1993),R,tt0107207,133 min,"
Biography, Crime, Drama            ",84        ,8.1,"157,518",$25.01M
403,Enter the Dragon,(1973),R,tt0070034,102 min,"
Action, Crime, Drama            ",83        ,7.7,"96,958",$25.00M
404,Some Like It Hot,(1959),Passed,tt0053291,121 min,"
Comedy, Music, Romance            ",98        ,8.2,"244,899",$25.00M
405,Gifted,(2017),PG-13,tt4481414,101 min,"
Drama            ",60        ,7.6,"100,292",$24.80M
406,Fearless,(2006),PG-13,tt0446059,104 min,"
Action, Biography, Drama            ",70        ,7.6,"72,957",$24.63M
407,Fargo,(1996),R,tt0116282,98 min,"
Crime, Drama, Thriller            ",85        ,8.1,"619,854",$24.61M
408,Sling Blade,(1996),R,tt0117666,135 min,"
Drama            ",84        ,8.0,"87,083",$24.48M
409,In the Heat of the Night,(1967),Approved,tt0061811,110 min,"
Crime, Drama, Mystery            ",75        ,7.9,"68,075",$24.38M
410,Lord of War,(2005),R,tt0399295,122 min,"
Action, Crime, Drama            ",62        ,7.6,"294,756",$24.15M
411,The Best Years Of Our Lives,(1946),Approved,tt0036868,170 min,"
Drama, Romance, War            ",93        ,8.0,"57,462",$23.65M
412,Hot Fuzz,(2007),R,tt0425112,121 min,"
Action, Comedy, Mystery            ",81        ,7.8,"464,742",$23.64M
413,Hotel Rwanda,(2004),PG-13,tt0395169,121 min,"
Biography, Drama, History            ",79        ,8.1,"335,236",$23.53M
414,Raging Bull,(1980),R,tt0081398,129 min,"
Biography, Drama, Sport            ",89        ,8.2,"323,101",$23.38M
415,The Usual Suspects,(1995),R,tt0114814,106 min,"
Crime, Mystery, Thriller            ",77        ,8.5,"994,865",$23.34M
416,The Iron Giant,(1999),PG,tt0129167,86 min,"
Animation, Action, Adventure            ",85        ,8.0,"172,640",$23.16M
417,Match Point,(2005),R,tt0416320,124 min,"
Drama, Romance, Thriller            ",72        ,7.6,"206,754",$23.09M
418,The Remains of the Day,(1993),PG,tt0107943,134 min,"
Drama, Romance            ",86        ,7.8,"66,361",$22.95M
419,Being John Malkovich,(1999),R,tt0120601,113 min,"
Comedy, Drama, Fantasy            ",90        ,7.7,"313,388",$22.86M
420,Lucky Number Slevin,(2006),R,tt0425210,110 min,"
Action, Crime, Drama            ",53        ,7.7,"299,936",$22.49M
421,The Warriors,(1979),R,tt0080120,92 min,"
Action, Crime, Thriller            ",65        ,7.6,"94,194",$22.49M
422,Magnolia,(1999),R,tt0175880,188 min,"
Drama            ",77        ,8.0,"290,567",$22.46M
423,The Lion in Winter,(1968),PG,tt0063227,134 min,"
Biography, Drama, History            ",--,7.9,"29,082",$22.28M
424,Adaptation.,(2002),R,tt0268126,115 min,"
Comedy, Drama            ",83        ,7.7,"179,124",$22.25M
425,Pink Floyd: The Wall,(1982),R,tt0084503,95 min,"
Drama, Fantasy, Music            ",47        ,8.1,"76,287",$22.24M
426,Empire of the Sun,(1987),PG,tt0092965,153 min,"
Action, Drama, History            ",62        ,7.7,"116,037",$22.24M
427,Billy Elliot,(2000),R,tt0249462,110 min,"
Drama, Music            ",74        ,7.7,"127,130",$22.00M
428,Il Postino,(1994),PG,tt0110877,108 min,"
Biography, Comedy, Drama            ",81        ,7.7,"33,716",$21.85M
429,The Right Stuff,(1983),PG,tt0086197,193 min,"
Adventure, Biography, Drama            ",91        ,7.8,"56,361",$21.50M
430,Fantastic Mr. Fox,(2009),PG,tt0432283,87 min,"
Animation, Adventure, Comedy            ",83        ,7.9,"201,051",$21.00M
431,A Christmas Story,(1983),PG,tt0085334,93 min,"
Comedy, Family            ",77        ,7.9,"133,172",$20.61M
432,Gone Baby Gone,(2007),R,tt0452623,114 min,"
Crime, Drama, Mystery            ",72        ,7.6,"251,388",$20.30M
433,Baahubali 2: The Conclusion,(2017),Not Rated,tt4849438,167 min,"
Action, Drama            ",--,8.2,"75,666",$20.19M
434,Monty Python's Life of Brian,(1979),R,tt0079470,94 min,"
Comedy            ",77        ,8.1,"368,443",$20.05M
435,La Dolce Vita,(1960),Not Rated,tt0053779,174 min,"
Comedy, Drama            ",95        ,8.0,"66,867",$19.52M
436,Léon: The Professional,(1994),R,tt0110413,110 min,"
Action, Crime, Drama            ",64        ,8.5,"1,039,943",$19.50M
437,The Secret World of Arrietty,(2010),G,tt1568921,94 min,"
Animation, Adventure, Family            ",80        ,7.6,"81,480",$19.20M
438,The Apartment,(1960),Approved,tt0053604,125 min,"
Comedy, Drama, Romance            ",94        ,8.3,"165,142",$18.60M
