movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
The Hobbit: The Desolation of Smaug,2013,PG-13,1170358,161,"Adventure, Fantasy",66.0,7.8,603178,258.37
The Lego Movie,2014,PG,1490017,100,"Animation, Action, Adventure",83.0,7.7,324655,257.76
Star Trek,2009,PG-13,796366,127,"Action, Adventure, Sci-Fi",82.0,7.9,578198,257.73
The Blind Side,2009,PG-13,878804,129,"Biography, Drama, Sport",53.0,7.6,294479,255.96
Despicable Me,2010,PG,1323594,95,"Animation, Comedy, Crime",72.0,7.6,502217,251.51
Harry Potter and the Prisoner of Azkaban,2004,PG,304141,142,"Adventure, Family, Fantasy",82.0,7.9,554899,249.36
Moana,2016,PG,3521164,107,"Animation, Adventure, Comedy",81.0,7.6,274563,248.76
Raiders of the Lost Ark,1981,PG,82971,115,"Action, Adventure",85.0,8.4,886818,248.16
Toy Story 2,1999,G,120363,92,"Animation, Adventure, Comedy",88.0,7.9,529319,245.85
Ghostbusters,1984,PG,87332,105,"Action, Comedy, Fantasy",71.0,7.8,356413,238.63
X-Men: Days of Future Past,2014,PG-13,1877832,132,"Action, Adventure, Sci-Fi",75.0,7.9,661944,233.92
Cast Away,2000,PG-13,162222,143,"Adventure, Drama, Romance",73.0,7.8,526513,233.63
The Exorcist,1973,R,70047,122,Horror,81.0,8.0,363161,232.91
Star Trek Into Darkness,2013,PG-13,1408101,132,"Action, Adventure, Sci-Fi",72.0,7.7,463866,228.78
The Martian,2015,PG-13,3659388,144,"Adventure, Drama, Sci-Fi",80.0,8.0,763233,228.43
The Bourne Ultimatum,2007,PG-13,440963,115,"Action, Mystery, Thriller",85.0,8.0,605672,227.47
Logan,2017,R,3315342,137,"Action, Drama, Sci-Fi",77.0,8.1,651202,226.28
WALL-E,2008,G,910970,98,"Animation, Adventure, Family",95.0,8.4,1003790,223.81
Big Hero 6,2014,PG,2245084,102,"Animation, Action, Adventure",74.0,7.8,412390,222.53
Mission: Impossible - Fallout,2018,PG-13,4912910,147,"Action, Adventure, Thriller",86.0,7.7,292713,220.16
Beauty And The Beast,1991,G,101414,84,"Animation, Family, Fantasy",95.0,8.0,418129,218.97
How to Train Your Dragon,2010,PG,892769,98,"Animation, Action, Adventure",75.0,8.1,669262,217.58
Aladdin,1992,G,103639,90,"Animation, Adventure, Comedy",86.0,8.0,374928,217.35
Saving Private Ryan,1998,R,120815,169,"Drama, War",91.0,8.6,1241046,216.54
Bohemian Rhapsody,2018,PG-13,1727824,134,"Biography, Drama, Music",49.0,8.0,454332,216.43
A Star Is Born,2018,R,1517451,136,"Drama, Music, Romance",88.0,7.6,337111,215.29
300,2006,R,416449,117,"Action, Drama",52.0,7.6,734499,210.61
Back to the Future,1985,PG,88763,116,"Adventure, Comedy, Sci-Fi",87.0,8.5,1062788,210.61
Coco,2017,PG,2380307,105,"Animation, Adventure, Family",81.0,8.4,388762,209.73
Sherlock Holmes,2009,PG-13,988045,128,"Action, Adventure, Mystery",57.0,7.6,584560,209.03
Dawn of the Planet of the Apes,2014,PG-13,2103281,130,"Action, Adventure, Drama",79.0,7.6,412417,208.55
Batman Begins,2005,PG-13,372784,140,"Action, Adventure",70.0,8.2,1312835,206.85
Ratatouille,2007,G,382932,111,"Animation, Adventure, Comedy",96.0,8.0,644215,206.45
Terminator 2: Judgment Day,1991,R,103064,137,"Action, Sci-Fi",75.0,8.5,998638,204.84
Tangled,2010,PG,398286,100,"Animation, Adventure, Comedy",71.0,7.7,407322,200.82
Gone with the Wind,1939,Passed,31381,238,"Drama, History, Romance",97.0,8.1,291071,198.68
Indiana Jones and The Last Crusade,1989,PG-13,97576,127,"Action, Adventure",65.0,8.2,694362,197.17
Toy Story,1995,G,114709,81,"Animation, Adventure, Comedy",95.0,8.3,891080,191.80
Spider-Man: Into the Spider-Verse,2018,PG,4633694,117,"Animation, Action, Adventure",87.0,8.4,379677,190.24
Wreck-It Ralph,2012,PG,1772341,101,"Animation, Adventure, Comedy",72.0,7.7,381450,189.42
Dunkirk,2017,PG-13,5013056,106,"Action, Drama, History",94.0,7.8,558627,188.37
Interstellar,2014,PG-13,816692,169,"Adventure, Drama, Sci-Fi",74.0,8.6,1521545,188.02
Gladiator,2000,R,172495,155,"Action, Adventure, Drama",67.0,8.5,1346622,187.71
Dances with Wolves,1990,PG-13,99348,181,"Adventure, Drama, Western",72.0,8.0,241089,184.21
The Fugitive,1993,PG-13,106977,130,"Action, Crime, Drama",87.0,7.8,268497,183.88
The Revenant,2015,R,1663202,156,"Action, Adventure, Drama",76.0,8.0,709085,183.64
Ocean's Eleven,2001,PG-13,240772,116,"Crime, Thriller",74.0,7.7,518400,183.42
Rain Man,1988,R,95953,133,Drama,65.0,8.0,474374,178.80
How to Train Your Dragon 2,2014,PG,1646971,102,"Animation, Action, Adventure",76.0,7.8,306626,177.00
The Bourne Supremacy,2004,PG-13,372183,108,"Action, Mystery, Thriller",73.0,7.7,435859,176.24
Get Out,2017,R,5052448,104,"Horror, Mystery, Thriller",85.0,7.7,495971,176.04
Apollo 13,1995,PG,112384,140,"Adventure, Drama, History",77.0,7.6,270306,173.84
The Matrix,1999,R,133093,136,"Action, Sci-Fi",73.0,8.7,1683677,171.48
True Grit,2010,PG-13,1403865,110,"Drama, Western",80.0,7.6,312868,171.24
A Beautiful Mind,2001,PG-13,268978,135,"Biography, Drama",72.0,8.2,852524,170.74
The Help,2011,PG-13,1454029,146,Drama,62.0,8.0,430104,169.71
Hidden Figures,2016,PG,4846340,127,"Biography, Drama, History",74.0,7.8,202017,169.61
Gone Girl,2014,R,2267998,149,"Drama, Mystery, Thriller",79.0,8.1,864080,167.77
Casino Royale,2006,PG-13,381061,144,"Action, Adventure, Thriller",80.0,8.0,583691,167.45
Knives Out,2019,PG-13,8946378,130,"Comedy, Crime, Drama",82.0,7.9,463611,165.36
Catch Me If You Can,2002,PG-13,264464,141,"Biography, Crime, Drama",75.0,8.1,838146,164.62
The Pursuit of Happyness,2006,PG-13,454921,117,"Biography, Drama",64.0,8.0,450765,163.57
The Sound of Music,1965,G,59742,172,"Biography, Drama, Family",63.0,8.0,207723,163.21
Django Unchained,2012,R,1853728,165,"Drama, Western",81.0,8.4,1364478,162.81
Straight Outta Compton,2015,R,1398426,147,"Biography, Drama, History",72.0,7.8,179785,161.20
The Sting,1973,PG,70735,129,"Comedy, Crime, Drama",83.0,8.3,242352,159.60
1917,2019,R,8579674,119,"Drama, Thriller, War",78.0,8.3,434617,159.23
Who Framed Roger Rabbit,1988,PG,96438,104,"Animation, Adventure, Comedy",83.0,7.7,182480,156.45
Mad Max: Fury Road,2015,R,1392190,120,"Action, Adventure, Sci-Fi",90.0,8.1,886078,154.06
La La Land,2016,PG-13,3783958,128,"Comedy, Drama, Music",94.0,8.0,509044,151.10
As Good as It Gets,1997,PG-13,119822,139,"Comedy, Drama, Romance",67.0,7.7,276625,148.48
Gran Torino,2008,R,1205489,116,Drama,72.0,8.1,722544,148.10
X: First Class,2011,PG-13,1270798,131,"Action, Adventure, Sci-Fi",65.0,7.7,647133,146.41
Taken,2008,PG-13,936501,90,"Action, Thriller",51.0,7.8,565869,145.00
Once Upon a Time... In Hollywood,2019,R,7131622,161,"Comedy, Drama",83.0,7.6,558292,142.50
The Jungle Book,1967,G,61852,78,"Animation, Adventure, Family",65.0,7.6,166957,141.84
A Few Good Men,1992,R,104257,138,"Drama, Thriller",62.0,7.7,236310,141.34
Slumdog Millionaire,2008,R,1010048,120,"Drama, Romance",84.0,8.0,800749,141.32
The King's Speech,2010,R,1504320,118,"Biography, Drama, History",88.0,8.0,641448,138.80
Platoon,1986,R,91763,120,"Drama, War",92.0,8.1,382482,138.53
Good Will Hunting,1997,R,119217,126,"Drama, Romance",70.0,8.3,865441,138.43
The Green Mile,1999,R,120689,189,"Crime, Drama, Fantasy",61.0,8.6,1153309,136.80
Argo,2012,R,1024648,120,"Biography, Drama, Thriller",86.0,7.7,574178,136.03
The Godfather,1972,R,68646,175,"Crime, Drama",100.0,9.2,1628373,134.97
Wonder,2017,PG,2543472,113,"Drama, Family",66.0,8.0,143371,132.42
The Departed,2006,R,407887,151,"Crime, Drama, Thriller",85.0,8.5,1194986,132.38
Silver Linings Playbook,2012,R,1045658,122,"Comedy, Drama, Romance",81.0,7.7,663746,132.09
Close Encounters of the Third Kind,1977,PG,75860,138,"Drama, Sci-Fi",90.0,7.6,185570,132.09
Minority Report,2002,PG-13,181689,145,"Action, Crime, Mystery",80.0,7.6,509774,132.07
The Silence of the Lambs,1991,R,102926,118,"Crime, Drama, Thriller",85.0,8.6,1276668,130.74
American Gangster,2007,R,765429,157,"Biography, Crime, Drama",76.0,7.8,393795,130.16
American Beauty,1999,R,169547,122,Drama,84.0,8.3,1073105,130.10
Kingsman: The Secret Service,2014,R,2802144,129,"Action, Adventure, Comedy",60.0,7.7,592071,128.26
"Crouching Tiger, Hidden Dragon",2000,PG-13,190332,120,"Action, Adventure, Fantasy",94.0,7.8,253875,128.08
