genre_ids,popularity,release_date,title,year,pg_rating,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
"['Thriller', 'Drama', 'Romance']",25.607,2016-06-01,The Handmaiden,2016,Not Rated,4016934,145,"Drama, Romance, Thriller",8.1,115060,2.01,6
"['Adventure', 'Comedy', 'Science Fiction', 'Family']",41.738,1985-07-03,Back to the Future,1985,PG,88763,116,"Adventure, Comedy, Sci-Fi",8.5,1062788,210.61,7
"['Romance', 'Drama']",119.308,2017-09-01,Call Me by Your Name,2017,R,5726616,132,"Drama, Romance",7.9,215241,18.1,9
"['Drama', 'War']",29.421,1979-08-15,Apocalypse Now,1979,R,78788,147,"Drama, Mystery, War",8.4,608758,83.47,8
"['Science Fiction', 'Drama']",10.947,1979-05-25,Stalker,1979,Not Rated,79944,162,"Drama, Sci-Fi",8.2,117713,0.23,5
"['Adventure', 'Science Fiction', 'Action']",299.698,2019-04-24,Avengers: Endgame,2019,PG-13,4154796,181,"Action, Adventure, Drama",8.4,821060,858.37,4
"['Fantasy', 'Drama']",14.911,1963-02-14,8½,1963,Not Rated,56801,138,Drama,8.0,109237,0.05,2
"['Drama', 'Mystery', 'Crime']",12.452,1957-12-17,Witness for the Prosecution,1957,Approved,51201,116,"Crime, Drama, Mystery",8.4,109544,8.18,12
"['Drama', 'Romance']",20.504,2019-06-17,Portrait of a Lady on Fire,2019,R,8613070,122,"Drama, Romance",8.1,64854,3.76,6
['Drama'],11.966,1948-11-24,Bicycle Thieves,1948,Not Rated,40522,89,Drama,8.3,147257,0.33,11
"['Drama', 'Comedy', 'Music']",26.94,2018-11-16,Green Book,2018,PG-13,6966692,130,"Biography, Comedy, Drama",8.2,383880,85.08,11
"['Drama', 'Thriller', 'Mystery', 'Action']",21.455,2003-11-21,Oldboy,2003,R,364569,120,"Action, Drama, Mystery",8.4,517789,0.71,11
"['Drama', 'Thriller', 'Mystery', 'Action']",21.234,2013-11-14,Oldboy,2003,R,364569,120,"Action, Drama, Mystery",8.4,517789,0.71,11
"['Adventure', 'Action', 'Science Fiction']",308.244,2018-04-25,Avengers: Infinity War,2018,PG-13,4154756,149,"Action, Adventure, Sci-Fi",8.4,841860,678.82,4
"['Drama', 'Comedy']",47.657,2011-11-02,The Intouchables,2011,R,1675434,112,"Biography, Comedy, Drama",8.5,764640,13.18,11
"['Family', 'Animation', 'Drama']",115.427,1994-06-23,The Lion King,1994,G,110357,88,"Animation, Adventure, Drama",8.5,946319,422.78,6
"['Adventure', 'Family', 'Animation']",103.356,2019-07-12,The Lion King,1994,G,110357,88,"Animation, Adventure, Drama",8.5,946319,422.78,7
"['Comedy', 'Drama', 'Romance']",14.777,1960-06-21,The Apartment,1960,Approved,53604,125,"Comedy, Drama, Romance",8.3,165142,18.6,6
"['Science Fiction', 'Drama']",27.993,1971-12-19,A Clockwork Orange,1971,R,66921,136,"Crime, Drama, Sci-Fi",8.3,760528,6.21,12
"['Comedy', 'Drama']",12.162,1921-01-21,The Kid,1921,Passed,12349,68,"Comedy, Drama, Family",8.3,114056,5.45,1
"['Fantasy', 'Comedy', 'Family']",14.325,2000-07-07,The Kid,1921,Passed,12349,68,"Comedy, Drama, Family",8.3,114056,5.45,7
"['Action', 'Comedy', 'Mystery']",10.581,1924-04-17,Sherlock Jr.,1924,Passed,15324,45,"Action, Comedy, Romance",8.2,42333,0.98,4
"['Animation', 'Thriller']",18.222,1997-07-25,Perfect Blue,1997,R,156887,81,"Animation, Crime, Mystery",8.0,58830,0.78,7
"['Drama', 'Family']",35.194,2017-11-13,Wonder,2017,PG,2543472,113,"Drama, Family",8.0,143371,132.42,11
"['Horror', 'Thriller']",51.475,1980-05-23,The Shining,1980,R,81505,146,"Drama, Horror",8.4,902404,44.02,5
"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']",114.735,2017-10-27,Coco,2017,PG,2380307,105,"Animation, Adventure, Family",8.4,388762,209.73,10
"['Mystery', 'Romance', 'Thriller']",17.792,1958-05-28,Vertigo,1958,PG,52357,128,"Mystery, Romance, Thriller",8.3,365929,3.2,5
"['Drama', 'Crime', 'Thriller']",16.682,1995-07-19,The Usual Suspects,1995,R,114814,106,"Crime, Mystery, Thriller",8.5,994865,23.34,7
