genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count
"['Comedy', 'Romance', 'Drama']",508,en,21.398,2003-09-07,Love Actually,7.1,4858
['Drama'],641662,en,24.989,2020-12-30,Pieces of a Woman,7.1,448
['Comedy'],381356,fr,7.516,2016-03-30,Five,7.1,806
"['Drama', 'History']",310307,en,19.917,2016-09-13,The Founder,7.1,3383
"['Adventure', 'Drama']",62204,fr,8.712,1981-12-15,Quest for Fire,7.1,313
"['Drama', 'History']",14292,en,9.383,2004-02-06,Miracle,7.1,393
['Drama'],414453,en,10.274,2017-08-04,Columbus,7.1,215
['Comedy'],233063,de,14.627,2013-11-07,Suck Me Shakespeer,7.1,1302
['Comedy'],38397,it,6.26,2002-01-01,"The Legend of Al, John and Jack",7.1,903
['Horror'],11797,en,14.719,1985-08-02,Fright Night,7.1,783
"['Fantasy', 'Horror', 'Comedy']",927,en,21.947,1984-06-07,Gremlins,7.1,4608
"['Drama', 'Romance']",23169,en,19.078,2010-03-12,Remember Me,7.1,2860
"['Family', 'Fantasy', 'Comedy']",662546,en,153.039,2020-12-04,Godmothered,7.1,326
"['Action', 'Adventure', 'Thriller']",9802,en,20.342,1996-06-07,The Rock,7.1,3146
"['Drama', 'Adventure']",468,en,14.375,1991-02-01,My Own Private Idaho,7.1,717
"['Drama', 'Fantasy', 'Romance']",428449,en,19.454,2017-04-24,A Ghost Story,7.1,1591
['Drama'],109410,en,16.104,2013-04-12,42,7.1,1314
"['Action', 'Thriller', 'Crime', 'Mystery']",33613,sv,14.317,2009-11-27,The Girl Who Kicked the Hornet's Nest,7.1,964
"['Animation', 'Family']",23566,en,33.072,2009-09-15,Barbie and the Three Musketeers,7.1,436
['Romance'],556803,en,24.094,2018-11-16,The Princess Switch,7.1,1786
"['Action', 'Animation', 'Adventure']",89636,ja,19.168,2010-11-11,Dragon Ball: Plan to Eradicate the Super Saiyans,7.1,200
"['Comedy', 'Action', 'Animation', 'Adventure']",16907,ja,35.777,2004-08-21,Naruto the Movie: Ninja Clash in the Land of Snow,7.1,266
"['Music', 'History', 'Drama']",12545,en,15.408,1973-08-15,Jesus Christ Superstar,7.1,394
"['Comedy', 'Drama']",74306,en,10.484,2011-09-09,God Bless America,7.1,675
"['Animation', 'Comedy']",15060,en,12.721,2009-02-23,Futurama: Into the Wild Green Yonder,7.1,330
"['Crime', 'Drama']",4946,fr,8.03,1969-01-15,The Swimming Pool,7.1,263
"['Drama', 'History']",614560,en,22.034,2020-11-13,Mank,7.1,573
"['Comedy', 'Adventure', 'Family']",116149,en,29.996,2014-11-24,Paddington,7.1,2504
"['Animation', 'Family']",10895,en,82.004,1940-02-23,Pinocchio,7.1,4315
"['Adventure', 'Crime', 'Drama', 'Mystery', 'Western']",8053,en,8.037,2005-11-17,The Three Burials of Melquiades Estrada,7.1,402
"['Action', 'Drama', 'Romance', 'Thriller']",4588,zh,8.004,2007-09-28,"Lust, Caution",7.1,356
"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",647,ja,17.476,2005-07-14,Final Fantasy VII: Advent Children,7.1,750
"['Comedy', 'Crime', 'Thriller']",483,en,17.089,1990-08-17,Wild at Heart,7.1,999
"['Drama', 'Action']",4643,en,23.204,2006-09-28,The Guardian,7.1,1019
['Drama'],546,en,7.786,2005-12-23,Transamerica,7.1,320
"['Animation', 'Comedy', 'Adventure', 'Family']",91417,en,16.003,2011-11-15,Dragons: Gift of the Night Fury,7.1,247
"['Thriller', 'Drama', 'Crime']",1900,en,17.001,2000-03-23,Traffic,7.1,1366
"['TV Movie', 'Drama', 'Romance']",14533,en,12.207,1998-01-31,Gia,7.1,490
['Drama'],9769,en,26.44,1997-09-27,Lolita,7.1,961
"['Action', 'Thriller']",9316,th,31.046,2003-01-21,Ong Bak: Muay Thai Warrior,7.1,1127
"['Crime', 'Drama', 'Thriller']",327,en,7.653,2000-09-09,Brother,7.1,237
"['Family', 'History']",418680,en,11.899,2017-09-29,Goodbye Christopher Robin,7.1,593
"['Comedy', 'Drama']",14886,en,6.453,1973-12-11,The Last Detail,7.1,215
"['Action', 'Crime', 'Horror']",9696,ja,16.416,2001-12-22,Ichi the Killer,7.1,563
"['Drama', 'Thriller']",524348,en,53.269,2019-09-12,The Report,7.1,604
"['Mystery', 'Thriller', 'Western', 'Drama']",324560,en,12.143,2016-03-12,Brimstone,7.1,699
"['Drama', 'Romance']",283552,en,11.528,2016-09-02,The Light Between Oceans,7.1,1059
"['Thriller', 'Drama', 'Horror']",64720,en,13.082,2011-09-30,Take Shelter,7.1,1103
"['Thriller', 'Drama', 'Action', 'Adventure', 'Science Fiction']",860,en,13.681,1983-06-03,WarGames,7.1,1180
"['Adventure', 'Fantasy']",337401,en,283.647,2020-09-04,Mulan,7.1,4323
"['Drama', 'Thriller']",127517,en,11.676,2012-09-11,Disconnect,7.1,833
['Crime'],26039,en,9.08,1967-08-30,Point Blank,7.1,216
"['Drama', 'Comedy']",587301,fr,21.65,2019-08-28,School Life,7.1,501
"['Drama', 'History', 'Comedy']",429197,en,18.356,2018-12-25,Vice,7.1,2357
"['Music', 'Drama']",10537,en,14.5,1991-03-01,The Doors,7.1,862
"['Adventure', 'Comedy', 'Crime']",19123,fr,10.54,1981-12-09,Knock on Wood,7.1,383
"['Comedy', 'Drama']",838,en,9.697,1973-08-01,American Graffiti,7.1,909
['Drama'],458737,en,13.745,2018-05-18,First Reformed,7.1,842
['Drama'],211052,el,8.375,2013-06-07,Miss Violence,7.1,250
"['Action', 'Thriller', 'Drama']",5919,en,10.99,1974-12-14,The Towering Inferno,7.1,573
"['Drama', 'Music', 'Romance']",13701,en,10.525,1994-12-16,Immortal Beloved,7.1,219
"['Action', 'Thriller', 'Drama', 'Adventure']",11893,en,8.232,1985-11-15,Runaway Train,7.1,334
['Mystery'],4192,en,10.184,1978-09-29,Death on the Nile,7.1,412
['Drama'],501907,en,15.585,2019-09-07,A Beautiful Day in the Neighborhood,7.1,827
"['Fantasy', 'Adventure', 'Animation']",430447,ja,13.732,2017-07-08,Mary and the Witch's Flower,7.1,514
"['Thriller', 'Drama', 'Romance']",10497,en,16.632,1992-09-02,Bitter Moon,7.1,388
['Comedy'],8469,en,13.567,1978-07-27,Animal House,7.1,1031
"['Animation', 'Science Fiction', 'Action', 'Adventure', 'Family']",1857,en,13.821,1986-08-08,The Transformers: The Movie,7.1,320
"['Drama', 'Comedy', 'Romance']",236,en,6.223,1994-08-22,Muriel's Wedding,7.1,270
"['Comedy', 'Romance', 'Fantasy', 'Drama']",103332,en,15.753,2012-07-25,Ruby Sparks,7.1,1145
['Drama'],82684,en,14.385,2012-10-25,Chasing Mavericks,7.1,415
"['Comedy', 'Drama']",374475,de,10.873,2016-07-14,Toni Erdmann,7.1,666
"['Family', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'TV Movie']",277217,en,29.709,2015-07-31,Descendants,7.1,1733
"['Comedy', 'Drama']",440472,en,17.403,2017-01-11,The Upside,7.1,748
"['Animation', 'Family', 'Adventure', 'Fantasy']",436931,ja,95.01,2017-07-15,Pokémon the Movie: I Choose You!,7.1,430
"['Family', 'Animation', 'Music', 'Comedy', 'Drama']",335797,en,74.981,2016-11-23,Sing,7.1,5865
"['Action', 'Adventure', 'Comedy', 'Crime']",11576,en,8.709,1963-11-07,"It's a Mad, Mad, Mad, Mad World",7.1,348
"['Comedy', 'Drama', 'Romance']",9675,en,11.556,2004-10-22,Sideways,7.1,1085
"['Drama', 'Romance']",1259,en,13.168,2006-12-25,Notes on a Scandal,7.1,557
"['History', 'Drama']",369972,en,76.765,2018-10-11,First Man,7.1,3854
"['Animation', 'Family', 'Music']",49948,en,10.768,1999-12-17,Fantasia 2000,7.1,883
"['Crime', 'Thriller']",9905,en,10.786,1994-12-22,Shallow Grave,7.1,641
"['Adventure', 'Drama', 'Family', 'Fantasy', 'Science Fiction']",173,en,9.389,1954-12-23,"20,000 Leagues Under the Sea",7.1,511
"['Action', 'Comedy', 'Fantasy']",287947,en,162.786,2019-03-29,Shazam!,7.1,6136
"['TV Movie', 'Romance', 'Drama']",188538,en,9.847,2013-04-21,Remember Sunday,7.1,401
"['Drama', 'Comedy']",103747,en,5.47,2012-06-01,The Angels' Share,7.1,360
"['Romance', 'Drama']",465914,en,13.032,2018-12-14,If Beale Street Could Talk,7.1,793
"['Comedy', 'Mystery']",12089,fr,8.107,1972-12-06,The Tall Blond Man with One Black Shoe,7.1,263
"['Romance', 'Drama']",508791,en,27.6,2019-05-16,The Sun Is Also a Star,7.1,444
['Thriller'],236735,es,13.025,2014-09-25,Marshland,7.1,683
"['Adventure', 'Animation', 'Comedy', 'Family']",127380,en,31.901,2016-06-16,Finding Dory,7.1,9687
['Drama'],3293,en,7.636,1999-05-10,Pirates of Silicon Valley,7.1,367
"['Comedy', 'Romance']",1581,en,14.526,2006-12-08,The Holiday,7.1,3609
"['Music', 'TV Movie']",348089,en,12.089,2016-01-31,Grease Live,7.0,245
"['Drama', 'Thriller', 'War']",333352,en,15.657,2015-09-11,Eye in the Sky,7.0,1120
"['Family', 'Drama']",43959,en,23.313,2011-04-08,Soul Surfer,7.0,911
"['Mystery', 'Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",20558,en,25.17,2005-12-13,Scooby-Doo! in Where's My Mummy?,7.0,218
['Drama'],10868,en,9.177,1988-10-14,The Accused,7.0,336
"['Action', 'Thriller', 'Crime', 'Drama']",11636,cn,13.501,2004-09-23,New Police Story,7.0,436
"['Mystery', 'Drama', 'Horror', 'Thriller']",11075,ja,13.769,1999-10-06,Audition,7.0,891
['Drama'],412202,en,7.261,2017-02-15,Handsome Devil,7.0,482
['Drama'],103731,en,8.581,2013-04-26,Mud,7.0,2041
['Comedy'],91739,en,7.642,2012-09-08,Much Ado About Nothing,7.0,201
"['Crime', 'Thriller', 'Action']",9846,en,7.848,1985-11-01,To Live and Die in L.A.,7.0,364
['Drama'],336000,en,11.49,2017-08-10,The Glass Castle,7.0,510
"['Comedy', 'Drama']",317560,en,11.124,2017-03-31,Carrie Pilby,7.0,293
"['Animation', 'Comedy', 'Family']",24589,en,8.848,2009-11-10,Dug's Special Mission,7.0,269
"['Comedy', 'Music']",1584,en,18.527,2003-10-03,School of Rock,7.0,4056
"['Drama', 'Fantasy']",1024,en,11.481,1994-09-12,Heavenly Creatures,7.0,605
"['Crime', 'Drama', 'Science Fiction', 'Thriller']",281,en,12.216,1995-10-13,Strange Days,7.0,821
"['Action', 'Drama', 'Western']",4512,en,12.983,2007-09-07,The Assassination of Jesse James by the Coward Robert Ford,7.0,1742
"['Thriller', 'Horror', 'Science Fiction']",11336,en,19.797,1983-10-21,The Dead Zone,7.0,966
"['Action', 'Adventure', 'Crime']",1637,en,28.709,1994-06-09,Speed,7.0,4187
['Western'],11509,en,15.609,1985-07-10,Silverado,7.0,429
"['Drama', 'Thriller']",9303,en,10.931,1996-09-13,Bound,7.0,513
"['Adventure', 'Drama', 'War']",8619,en,13.014,2003-11-14,Master and Commander: The Far Side of the World,7.0,2091
"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",7485,en,25.064,2007-03-22,Shooter,7.0,3328
"['Crime', 'Action', 'Western']",5698,en,6.634,1903-12-07,The Great Train Robbery,7.0,372
"['Adventure', 'Drama']",272878,en,19.748,2015-06-26,Max,7.0,560
"['Adventure', 'Drama', 'Thriller']",44115,en,21.761,2010-11-05,127 Hours,7.0,5703
"['Romance', 'Drama', 'Thriller', 'Crime']",43539,en,16.259,2010-11-18,The Next Three Days,7.0,2045
"['Adventure', 'Drama', 'Action', 'History']",9555,en,7.294,2002-02-04,Rabbit-Proof Fence,7.0,226
"['Comedy', 'Family', 'Science Fiction', 'Adventure']",926,en,14.668,1999-12-23,Galaxy Quest,7.0,1497
"['Action', 'Adventure', 'Fantasy']",847,en,15.533,1988-05-20,Willow,7.0,1178
"['Drama', 'Romance']",77877,en,23.099,2012-04-19,The Lucky One,7.0,2759
"['Drama', 'History', 'War']",659,de,7.027,1979-05-02,The Tin Drum,7.0,243
"['Drama', 'Thriller']",248933,de,7.441,2014-02-13,The Dark Valley,7.0,236
['Drama'],2007,en,7.595,1992-12-30,Lorenzo's Oil,7.0,352
"['Drama', 'Romance']",1643,it,12.33,1972-10-14,Last Tango in Paris,7.0,824
"['Science Fiction', 'Action', 'Drama', 'Romance', 'Adventure', 'Thriller']",445651,en,82.95,2018-07-25,The Darkest Minds,7.0,1991
"['Action', 'Crime', 'Drama']",11942,en,8.936,1974-08-07,Bring Me the Head of Alfredo Garcia,7.0,204
['Drama'],10217,en,10.528,1997-09-25,The Sweet Hereafter,7.0,246
"['Comedy', 'Drama', 'Romance']",11337,en,9.278,1980-09-26,Stardust Memories,7.0,260
"['Action', 'Crime', 'Drama', 'Thriller']",7304,en,17.704,2006-01-06,Running Scared,7.0,693
"['Action', 'Science Fiction', 'Horror']",315011,ja,26.222,2016-07-29,Shin Godzilla,7.0,627
"['Drama', 'TV Movie']",36950,en,7.626,2010-04-14,You Don't Know Jack,7.0,246
"['Animation', 'Family', 'Comedy']",15400,en,9.801,1999-10-31,Mickey's Once Upon a Christmas,7.0,447
"['Animation', 'Science Fiction']",9606,ja,21.154,2001-05-26,Metropolis,7.0,272
"['Comedy', 'Family']",554241,en,20.688,2019-11-08,Playing with Fire,7.0,425
"['Comedy', 'Drama']",308084,en,7.397,2015-07-10,Tangerine,7.0,421
"['Crime', 'Drama', 'Western']",82633,en,15.422,2012-08-29,Lawless,7.0,2213
"['Action', 'Crime', 'Drama', 'Thriller']",8982,th,29.223,2005-08-11,The Protector,7.0,530
['Thriller'],555561,it,5.76,2018-12-13,The Invisible Witness,7.0,208
['Comedy'],22826,it,5.185,1994-10-22,The Monster,7.0,451
"['Comedy', 'Romance', 'Drama']",18240,en,34.747,2009-06-01,The Proposal,7.0,4670
"['Comedy', 'Crime', 'Mystery']",11219,en,8.645,1955-10-03,The Trouble with Harry,7.0,480
"['Comedy', 'Action']",567604,en,29.544,2018-12-11,Once Upon a Deadpool,7.0,465
"['Animation', 'Family', 'Fantasy', 'Adventure']",75258,en,31.458,2012-08-17,Secret of the Wings,7.0,809
"['Crime', 'Drama', 'Mystery', 'Thriller']",17443,en,7.758,1979-10-19,...And Justice for All,7.0,287
"['Drama', 'Comedy', 'Romance']",11971,en,9.186,1993-05-07,Much Ado About Nothing,7.0,476
"['Adventure', 'Fantasy']",11527,en,14.263,1981-04-10,Excalibur,7.0,628
"['Comedy', 'Drama', 'History']",402897,en,15.219,2017-10-20,The Death of Stalin,7.0,1190
"['Drama', 'Action', 'Crime']",18533,en,9.836,2008-10-09,Bronson,7.0,1784
['Drama'],11447,it,12.647,2001-03-09,The Son's Room,7.0,275
"['Animation', 'Family', 'Adventure', 'Mystery']",9994,en,13.555,1986-07-02,The Great Mouse Detective,7.0,1118
"['Drama', 'Mystery', 'Thriller']",1985,en,14.454,2005-08-31,The Constant Gardener,7.0,959
"['Horror', 'Action', 'Comedy']",338967,en,177.663,2019-10-09,Zombieland: Double Tap,7.0,3405
"['Drama', 'Romance']",332872,es,8.788,2016-04-08,Julieta,7.0,637
"['Crime', 'Drama']",2742,en,10.465,1991-12-27,Naked Lunch,7.0,606
['Comedy'],437033,es,13.04,2017-09-01,Toc Toc,7.0,804
"['Drama', 'Action', 'Thriller']",390497,ko,10.072,2016-08-10,Tunnel,7.0,259
"['Comedy', 'Drama', 'Romance']",10937,en,6.734,1987-09-02,Barfly,7.0,210
"['Adventure', 'Family']",18444,en,8.873,1960-12-21,Swiss Family Robinson,7.0,212
"['Comedy', 'Drama', 'Romance']",7326,en,13.852,2007-12-05,Juno,7.0,5491
"['Family', 'Action', 'Comedy']",592834,en,21.327,2020-01-09,My Spy,7.0,705
['Drama'],53487,en,8.544,2011-08-24,This Must Be the Place,7.0,859
"['Drama', 'Romance']",41110,it,7.347,2009-09-05,I Am Love,7.0,222
['Drama'],10476,en,11.03,2005-07-22,Hustle & Flow,7.0,224
"['Comedy', 'Drama', 'Music']",2750,en,10.36,2002-02-13,24 Hour Party People,7.0,278
"['Comedy', 'Crime']",378,en,13.797,1987-03-01,Raising Arizona,7.0,1355
['Drama'],228970,en,9.653,2014-01-16,Wild,7.0,1817
"['Drama', 'History', 'Mystery']",11831,en,3.354,1997-12-03,Amistad,7.0,871
"['Comedy', 'Drama']",156700,en,13.403,2013-01-19,The Kings of Summer,7.0,833
"['Horror', 'Science Fiction']",41428,ja,10.426,1989-07-01,Tetsuo: The Iron Man,7.0,321
"['Drama', 'Romance']",17187,en,10.493,2002-11-22,The Emperor's Club,7.0,264
"['Comedy', 'Romance']",16553,en,10.22,2005-09-30,Little Manhattan,7.0,524
['Horror'],13550,en,7.776,1980-03-28,The Changeling,7.0,321
"['Music', 'Comedy', 'Drama']",56020,it,5.363,1998-10-16,Radio Arrow,7.0,275
"['Horror', 'Comedy']",1547,en,20.427,1987-07-31,The Lost Boys,7.0,1276
"['Crime', 'Drama']",398,en,13.126,2005-09-30,Capote,7.0,975
"['Horror', 'Thriller', 'Mystery', 'Comedy']",567609,en,26.828,2019-08-21,Ready or Not,7.0,2411
"['Thriller', 'Crime', 'Drama']",457799,en,21.208,2019-05-02,"Extremely Wicked, Shockingly Evil and Vile",7.0,2420
"['Comedy', 'Drama', 'Romance']",254320,en,15.706,2015-10-15,The Lobster,7.0,4276
"['Science Fiction', 'Fantasy']",76535,en,15.107,2011-10-25,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,7.0,219
"['Action', 'Crime', 'Drama', 'Thriller']",9631,en,17.107,1998-07-29,The Negotiator,7.0,1362
"['Crime', 'Drama', 'Thriller', 'Mystery']",1073,en,13.192,1999-03-19,Arlington Road,7.0,674
"['Action', 'Crime', 'Thriller']",269494,ko,10.644,2014-05-29,A Hard Day,7.0,255
"['Drama', 'Thriller', 'War']",31906,en,9.815,1971-03-31,The Beguiled,7.0,268
"['Drama', 'Science Fiction', 'Thriller']",619264,es,58.928,2019-11-08,The Platform,7.0,4316
['Comedy'],13785,en,10.986,2000-09-29,Best in Show,7.0,379
['Drama'],1715,en,13.005,1999-12-17,The Cider House Rules,7.0,774
"['Romance', 'Drama']",241771,en,9.023,2014-11-14,Beyond the Lights,7.0,296
"['Drama', 'Thriller']",12502,en,8.257,1983-12-14,Silkwood,7.0,200
"['Drama', 'Romance', 'Thriller']",267,es,7.216,1997-10-28,Live Flesh,7.0,342
"['Family', 'Romance', 'Comedy', 'Drama']",643882,en,22.582,2020-11-19,The Princess Switch: Switched Again,7.0,540
"['Comedy', 'Drama', 'Romance']",450489,en,14.928,2018-02-16,Irreplaceable You,7.0,563
"['Romance', 'Drama']",6418,en,9.243,2007-09-03,Hotel Chevalier,7.0,567
"['Adventure', 'Drama', 'Family']",2383,en,74.281,1988-10-21,The Bear,7.0,295
"['Comedy', 'Drama', 'Romance', 'Family']",909,en,9.065,1944-11-28,Meet Me in St. Louis,7.0,215
"['Drama', 'Science Fiction', 'Adventure']",644,en,17.034,2001-06-29,A.I. Artificial Intelligence,7.0,4569
"['Animation', 'Family', 'Comedy']",77887,en,16.809,2011-06-16,Hawaiian Vacation,7.0,453
['Thriller'],11973,en,10.785,2000-12-24,Thirteen Days,7.0,464
['Comedy'],325690,it,5.171,2015-02-19,The Legendary Giulia and Other Miracles,7.0,379
"['Action', 'Crime', 'Drama', 'History', 'Thriller']",6968,de,6.285,2008-09-24,The Baader Meinhof Complex,7.0,369
['Comedy'],9427,en,9.057,1997-08-13,The Full Monty,7.0,1088
['Drama'],500860,en,13.835,2019-03-15,The Mustang,7.0,244
['Fantasy'],337556,de,8.567,2016-07-07,Emerald Green,7.0,723
"['Drama', 'Mystery', 'Romance']",26748,en,9.842,1996-06-21,Lone Star,7.0,207
"['Drama', 'Romance']",11257,en,10.66,1985-12-13,A Room with a View,7.0,465
['Comedy'],6471,en,10.772,1979-12-14,The Jerk,7.0,545
"['Music', 'Drama', 'Crime']",1553,fr,7.144,2005-03-16,The Beat That My Heart Skipped,7.0,281
"['Comedy', 'Drama']",394741,en,21.31,2018-12-28,Stan & Ollie,7.0,714
"['Animation', 'Family']",62211,en,63.117,2013-06-19,Monsters University,7.0,8113
"['Action', 'Thriller', 'Adventure']",56292,en,38.684,2011-12-07,Mission: Impossible - Ghost Protocol,7.0,7494
['Drama'],160588,en,11.879,2013-07-25,Blue Jasmine,7.0,2656
"['Family', 'Fantasy', 'Animation', 'Romance']",11224,en,76.733,1950-02-22,Cinderella,7.0,5025
"['Comedy', 'Crime', 'Drama', 'Romance']",2469,es,8.961,1989-12-12,Tie Me Up! Tie Me Down!,7.0,363
"['Comedy', 'Drama', 'Fantasy']",300,fr,8.385,2006-02-11,The Science of Sleep,7.0,497
"['Thriller', 'Horror', 'Mystery']",458723,en,23.565,2019-03-14,Us,7.0,4809
"['Animation', 'Family']",13459,en,24.98,2008-11-03,Barbie in 'A Christmas Carol',7.0,364
['Comedy'],11000,en,10.53,1996-03-08,The Birdcage,7.0,744
"['Action', 'Crime', 'Comedy', 'Thriller']",10536,en,11.336,1969-06-02,The Italian Job,7.0,451
['Drama'],4012,en,9.457,2001-10-10,The Believer,7.0,410
['Drama'],1374,en,27.993,1985-11-21,Rocky IV,7.0,2920
"['Action', 'Crime', 'Drama', 'History', 'Thriller']",388399,en,28.42,2016-12-12,Patriots Day,7.0,1875
"['Comedy', 'Drama']",320006,fa,6.979,2015-04-15,Taxi,7.0,258
"['Drama', 'History', 'Romance']",8095,en,20.516,1963-06-12,Cleopatra,7.0,430
"['Drama', 'War']",2604,en,14.727,1989-12-20,Born on the Fourth of July,7.0,1103
"['Action', 'Adventure', 'Fantasy']",447404,en,63.771,2019-05-03,Pokémon Detective Pikachu,7.0,4700
"['Animation', 'Action', 'Adventure']",251519,en,23.015,2014-05-13,Son of Batman,7.0,674
"['Horror', 'Drama']",25508,en,10.607,1942-12-05,Cat People,7.0,327
"['Animation', 'Family']",13378,en,11.422,2004-11-15,Mickey's Twice Upon a Christmas,7.0,275
"['Science Fiction', 'Thriller']",10514,en,10.17,1971-03-12,The Andromeda Strain,7.0,402
"['Adventure', 'Comedy', 'Family', 'Fantasy']",118,en,69.479,2005-07-13,Charlie and the Chocolate Factory,7.0,11080
"['Comedy', 'Family', 'TV Movie', 'Romance']",79113,en,12.092,2011-12-03,A Princess for Christmas,7.0,303
['Drama'],11393,en,9.475,1984-05-11,The Natural,7.0,377
"['Adventure', 'Comedy', 'Drama', 'Fantasy']",526,en,9.195,1985-03-27,Ladyhawke,7.0,790
"['Drama', 'Comedy']",534259,en,16.789,2019-08-09,Blinded by the Light,7.0,372
"['Crime', 'Drama', 'Mystery', 'Thriller']",348668,da,10.425,2016-03-03,A Conspiracy of Faith,7.0,360
"['Comedy', 'Crime', 'Drama']",37495,en,9.515,2010-05-07,Four Lions,7.0,804
"['Mystery', 'Thriller', 'War']",25670,en,8.874,1940-08-16,Foreign Correspondent,7.0,209
"['Drama', 'Action', 'Thriller', 'Crime', 'Mystery']",24253,sv,13.864,2009-09-18,The Girl Who Played with Fire,7.0,1192
"['Drama', 'History']",446354,en,18.925,2017-01-19,The Post,7.0,3509
"['Drama', 'Romance']",2623,en,12.73,1982-07-28,An Officer and a Gentleman,7.0,713
['Drama'],395993,en,13.996,2017-09-22,Stronger,7.0,1118
"['Comedy', 'Romance', 'Science Fiction']",11561,en,8.913,1973-12-17,Sleeper,7.0,523
"['Comedy', 'History']",864,en,15.469,1993-10-01,Cool Runnings,7.0,1343
"['Family', 'Animation']",129533,en,32.587,2012-09-13,Barbie: The Princess & The Popstar,7.0,359
"['Action', 'Crime', 'Drama']",85739,it,7.015,2012-01-27,ACAB : All Cops Are Bastards,7.0,609
"['Fantasy', 'Drama', 'Horror', 'Comedy']",21588,it,6.795,1994-03-25,Cemetery Man,7.0,290
"['Comedy', 'Drama', 'Crime', 'Thriller']",7270,en,11.209,2003-09-01,Matchstick Men,7.0,1167
"['Thriller', 'Science Fiction', 'Mystery']",1090,en,15.585,1999-04-16,The Thirteenth Floor,7.0,857
"['Family', 'Animation', 'Music', 'Adventure', 'Fantasy']",335360,en,21.142,2017-10-05,My Little Pony: The Movie,7.0,256
"['Crime', 'Thriller', 'Drama']",302946,en,33.133,2016-10-13,The Accountant,7.0,4380
"['Drama', 'History']",9045,fr,8.333,2002-02-13,Amen.,7.0,216
"['Thriller', 'Drama', 'Horror']",931,en,13.664,1973-12-03,Don't Look Now,7.0,555
"['Adventure', 'Action', 'Thriller']",646,en,39.508,1962-10-07,Dr. No,7.0,2373
"['Drama', 'Horror']",48714,en,5.771,1967-12-29,The Big Shave,7.0,204
"['Comedy', 'Fantasy', 'Drama']",2907,en,21.028,1991-11-22,The Addams Family,7.0,3105
"['Crime', 'Comedy', 'Action', 'Thriller']",402900,en,100.724,2018-06-07,Ocean's Eight,7.0,6151
"['Adventure', 'Action', 'Science Fiction', 'Thriller']",36658,en,1.381,2003-04-24,X2,7.0,7682
"['Music', 'Comedy', 'Romance']",13320,en,9.191,1957-02-13,Funny Face,7.0,464
"['Comedy', 'Adventure', 'Drama']",407447,en,9.732,2018-05-30,The Extraordinary Journey of the Fakir,7.0,201
"['Comedy', 'Drama']",101731,en,8.97,2012-07-06,The Magic of Belle Isle,7.0,272
"['Drama', 'Crime', 'Thriller']",11975,en,11.229,1997-11-18,The Rainmaker,7.0,732
"['Action', 'Drama', 'Horror', 'Thriller']",433945,ja,82.997,2017-07-16,Tokyo Ghoul,7.0,240
"['Drama', 'Comedy', 'Science Fiction', 'Romance']",22494,en,12.553,2009-04-24,Frequently Asked Questions About Time Travel,7.0,372
"['Adventure', 'Fantasy', 'Comedy', 'Family', 'Music', 'Mystery']",12335,en,8.244,1971-10-07,Bedknobs and Broomsticks,7.0,699
"['Action', 'Drama', 'Thriller']",10083,en,11.334,1987-08-14,No Way Out,7.0,404
"['Comedy', 'Thriller', 'Mystery']",1958,fr,9.644,2002-01-08,8 Women,7.0,632
"['Drama', 'Thriller']",590854,pl,8.133,2020-03-06,The Hater,7.0,313
"['Adventure', 'Comedy', 'Fantasy']",512200,en,369.78,2019-12-04,Jumanji: The Next Level,7.0,5500
"['Drama', 'Romance']",408508,en,8.106,2016-10-07,Blue Jay,7.0,288
[],50472,it,5.892,2006-11-26,Anplagghed al cinema,7.0,279
"['Action', 'Science Fiction', 'Thriller']",7299,en,14.112,2002-12-06,Equilibrium,7.0,3231
"['Action', 'Crime', 'Thriller']",10753,cn,12.427,1988-08-13,Police Story 2,7.0,283
"['Animation', 'Family', 'TV Movie', 'Adventure', 'Comedy', 'Fantasy']",256835,en,26.188,2014-12-02,Toy Story That Time Forgot,7.0,680
"['Drama', 'Comedy']",73532,fr,7.744,2011-09-08,Le Havre,7.0,262
"['Action', 'Adventure', 'Animation', 'Family']",523777,en,17.58,2018-09-07,Next Gen,7.0,495
['Drama'],64685,en,15.111,2011-12-24,Extremely Loud & Incredibly Close,7.0,1570
"['Drama', 'History']",9746,en,9.309,1997-12-25,Kundun,7.0,287
"['Animation', 'Drama', 'Family']",3170,en,64.564,1942-08-14,Bambi,7.0,4172
"['Science Fiction', 'Thriller']",14139,es,13.043,2007-10-05,Timecrimes,7.0,789
"['Comedy', 'Drama']",11590,en,7.388,1977-02-25,Slap Shot,7.0,224
"['Fantasy', 'Drama']",7980,en,21.481,2009-02-19,The Lovely Bones,7.0,3269
"['Comedy', 'Drama']",4031,fr,8.878,1974-05-12,Going Places,7.0,234
"['Drama', 'Music', 'Family']",2054,en,11.197,1995-12-29,Mr. Holland's Opus,7.0,255
"['Comedy', 'Drama']",1382,en,9.093,2005-06-17,Me and You and Everyone We Know,7.0,215
['Comedy'],778,fr,8.429,1953-02-25,Monsieur Hulot's Holiday,7.0,246
