genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count
"['Drama', 'Mystery', 'Crime', 'TV Movie']",452522,en,11.832,1990-04-08,Twin Peaks,8.3,442
"['Drama', 'War']",975,en,13.027,1957-09-18,Paths of Glory,8.3,1792
"['Action', 'Science Fiction', 'Adventure']",27205,en,48.988,2010-07-15,Inception,8.3,28458
"['Crime', 'Drama', 'Mystery', 'Thriller']",12493,ja,8.486,1963-03-01,High and Low,8.3,408
"['Comedy', 'Drama']",3082,en,13.127,1936-02-11,Modern Times,8.3,2499
"['Adventure', 'Fantasy', 'Action']",121,en,61.802,2002-12-18,The Lord of the Rings: The Two Towers,8.3,16088
"['Crime', 'Mystery', 'Thriller']",807,en,34.846,1995-09-22,Se7en,8.3,14695
"['Drama', 'Mystery', 'Thriller']",432517,en,5.94,2017-01-15,Sherlock: The Final Problem,8.3,883
"['Adventure', 'Drama', 'Science Fiction']",157336,en,107.301,2014-11-05,Interstellar,8.3,25111
"['Crime', 'Drama', 'Thriller', 'Horror']",274,en,12.271,1991-02-01,The Silence of the Lambs,8.3,11511
"['Crime', 'Drama', 'Action']",101,en,43.949,1994-09-14,Léon: The Professional,8.3,10546
['Drama'],207,en,18.697,1989-06-02,Dead Poets Society,8.3,7882
"['Science Fiction', 'Adventure']",313106,en,10.548,2013-11-23,Doctor Who: The Day of the Doctor,8.3,592
['Western'],335,it,19.593,1968-12-21,Once Upon a Time in the West,8.3,2888
"['Animation', 'Drama', 'Romance', 'Family']",504253,ja,94.881,2018-09-01,I Want to Eat Your Pancreas,8.3,564
['Comedy'],620683,pt,5.841,2019-12-26,My Mom is a Character 3,8.3,348
['Drama'],18148,ja,12.845,1953-11-03,Tokyo Story,8.3,600
"['Drama', 'Comedy', 'Family']",637920,tr,57.911,2019-10-10,Miracle in Cell No. 7,8.3,3480
"['Crime', 'Drama']",470044,en,22.505,2018-10-19,The Hate U Give,8.3,1467
['Drama'],265177,fr,11.605,2014-05-22,Mommy,8.3,2000
"['Drama', 'Music', 'Romance']",10376,it,12.869,1998-10-28,The Legend of 1900,8.3,1567
"['Thriller', 'Drama', 'Romance']",290098,ko,25.607,2016-06-01,The Handmaiden,8.3,2142
"['Drama', 'Thriller']",26451,it,10.439,1970-10-16,Investigation of a Citizen Above Suspicion,8.3,469
"['Animation', 'Family', 'Adventure', 'Comedy']",508965,en,18.396,2019-11-08,Klaus,8.3,2326
"['Drama', 'Thriller']",16672,ja,8.821,1964-02-15,Woman in the Dunes,8.3,215
"['Adventure', 'Comedy', 'Science Fiction', 'Family']",105,en,41.738,1985-07-03,Back to the Future,8.3,14620
"['Romance', 'Drama']",398818,en,119.308,2017-09-01,Call Me by Your Name,8.3,8713
"['Drama', 'War']",28,en,29.421,1979-08-15,Apocalypse Now,8.3,5571
['Drama'],797,sv,13.968,1966-10-18,Persona,8.3,1282
"['Family', 'Animation', 'Comedy', 'Drama', 'Music', 'Fantasy']",508442,en,976.127,2020-12-25,Soul,8.3,4869
"['Science Fiction', 'Drama']",1398,ru,10.947,1979-05-25,Stalker,8.3,1213
"['Adventure', 'Science Fiction', 'Action']",299534,en,299.698,2019-04-24,Avengers: Endgame,8.3,17099
"['Fantasy', 'Drama']",422,it,14.911,1963-02-14,8½,8.3,1468
"['Animation', 'Drama', 'Family', 'Fantasy']",110420,ja,29.486,2012-07-21,Wolf Children,8.3,1499
"['Drama', 'Mystery', 'Crime']",37257,en,12.452,1957-12-17,Witness for the Prosecution,8.3,783
"['Drama', 'War', 'History']",25237,ru,14.256,1985-09-03,Come and See,8.3,638
"['Drama', 'Comedy']",24188,it,8.317,1962-12-04,Il Sorpasso,8.3,449
"['Drama', 'Romance']",531428,fr,20.504,2019-06-17,Portrait of a Lady on Fire,8.3,1260
['Drama'],5156,it,11.966,1948-11-24,Bicycle Thieves,8.3,1497
"['Drama', 'Comedy', 'Music']",490132,en,26.94,2018-11-16,Green Book,8.3,7481
"['Drama', 'Comedy', 'Family']",158445,ko,7.06,2013-01-23,Miracle in Cell No. 7,8.3,265
['Drama'],517814,ar,19.883,2018-10-06,Capernaum,8.3,962
['Comedy'],20914,it,7.143,1975-08-15,My Friends,8.3,479
"['Drama', 'Thriller', 'Mystery', 'Action']",670,ko,21.455,2003-11-21,Oldboy,8.3,5521
"['Drama', 'History', 'Romance']",11659,it,6.85,2003-06-22,The Best of Youth,8.3,352
"['Adventure', 'Action', 'Science Fiction']",299536,en,308.244,2018-04-25,Avengers: Infinity War,8.3,21026
"['Drama', 'Family', 'Fantasy']",1585,en,28.566,1946-12-20,It's a Wonderful Life,8.3,2823
"['Drama', 'Comedy']",77338,fr,47.657,2011-11-02,The Intouchables,8.2,13027
"['Romance', 'Thriller']",652722,es,15.345,2019-12-06,In the Arms of an Assassin,8.2,227
"['Family', 'Animation', 'Drama']",8587,en,115.427,1994-06-23,The Lion King,8.2,13631
"['Fantasy', 'Drama']",490,sv,10.764,1957-02-16,The Seventh Seal,8.2,1913
"['Comedy', 'Drama', 'Romance']",284,en,14.777,1960-06-21,The Apartment,8.2,1391
"['Crime', 'Drama', 'Thriller', 'History']",29259,fr,7.551,1960-03-18,Le Trou,8.2,235
"['Science Fiction', 'Drama']",185,en,27.993,1971-12-19,A Clockwork Orange,8.2,9295
"['Comedy', 'Drama']",10098,en,12.162,1921-01-21,The Kid,8.2,1306
"['Action', 'Comedy', 'Mystery']",992,en,10.581,1924-04-17,Sherlock Jr.,8.2,532
"['Animation', 'Thriller']",10494,ja,18.222,1997-07-25,Perfect Blue,8.2,1206
['Drama'],5801,bn,7.886,1955-08-26,Pather Panchali,8.2,202
"['Family', 'Animation']",399106,en,11.107,2016-06-16,Piper,8.2,1175
"['Drama', 'Family']",406997,en,35.194,2017-11-13,Wonder,8.2,6117
['Comedy'],610461,es,126.165,2020-02-14,"Veinteañera, divorciada y fantástica",8.2,304
"['Horror', 'Thriller']",694,en,51.475,1980-05-23,The Shining,8.2,12497
"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']",354912,en,114.735,2017-10-27,Coco,8.2,13462
"['Mystery', 'Romance', 'Thriller']",426,en,17.792,1958-05-28,Vertigo,8.2,3897
"['Drama', 'Crime', 'Thriller']",629,en,16.682,1995-07-19,The Usual Suspects,8.2,7497
"['Drama', 'Romance']",2457,fr,9.548,1945-03-15,Children of Paradise,8.2,228
"['Comedy', 'Crime']",24382,it,9.235,1958-06-06,Big Deal on Madonna Street,8.2,457
"['Drama', 'Action', 'Thriller', 'War']",16869,en,53.199,2009-08-18,Inglourious Basterds,8.2,16349
"['Adventure', 'Action', 'Science Fiction']",11,en,70.209,1977-05-25,Star Wars,8.2,15167
"['Comedy', 'Drama']",439,it,14.247,1960-02-05,La Dolce Vita,8.2,1178
['Drama'],705,en,12.527,1950-10-06,All About Eve,8.2,1001
"['Mystery', 'Thriller']",77,en,23.603,2000-10-11,Memento,8.2,10656
"['Crime', 'Drama']",103,en,23.134,1976-02-09,Taxi Driver,8.2,7828
"['Adventure', 'Family']",606856,en,25.652,2019-12-20,Togo,8.2,1079
"['Comedy', 'Music', 'Romance']",872,en,13.272,1952-04-09,Singin' in the Rain,8.2,2033
"['Crime', 'Drama', 'Mystery', 'Thriller']",996,en,11.386,1944-06-14,Double Indemnity,8.2,1097
"['Drama', 'Mystery', 'Thriller']",1124,en,23.47,2006-10-19,The Prestige,8.2,11333
"['Drama', 'Science Fiction']",19,de,14.331,1927-02-06,Metropolis,8.2,1714
"['Romance', 'Comedy']",746957,es,12.473,2020-10-02,You've Got This,8.2,208
"['Drama', 'Thriller']",11878,ja,14.02,1961-04-25,Yojimbo,8.2,856
"['Comedy', 'Crime']",100,en,8.824,1998-03-05,"Lock, Stock and Two Smoking Barrels",8.2,4621
['Drama'],20530,ja,10.259,1949-09-13,Late Spring,8.2,213
"['Action', 'Drama', 'Adventure']",98,en,33.713,2000-05-01,Gladiator,8.2,13230
"['Crime', 'Drama', 'Mystery']",548,ja,14.402,1950-08-26,Rashomon,8.2,1323
"['Crime', 'Thriller', 'Drama']",475557,en,418.789,2019-10-02,Joker,8.2,16751
['Drama'],50014,en,23.671,2011-08-09,The Help,8.2,5410
"['Animation', 'Fantasy', 'Adventure', 'Action', 'Family']",638507,en,49.799,2019-10-25,How to Train Your Dragon: Homecoming,8.2,509
"['Family', 'Animation', 'Romance', 'Comedy']",455661,en,5.753,2017-06-01,In a Heartbeat,8.2,842
"['Drama', 'Romance']",42229,it,10.232,1977-08-11,A Special Day,8.2,423
"['Drama', 'History', 'War']",857,en,31.162,1998-07-24,Saving Private Ryan,8.2,11381
"['Mystery', 'Crime', 'Thriller']",411088,es,32.754,2016-09-22,The Invisible Guest,8.2,3030
"['Drama', 'Thriller', 'Mystery']",11324,en,37.191,2010-02-14,Shutter Island,8.2,17316
['Drama'],614,sv,10.151,1957-12-26,Wild Strawberries,8.2,1029
"['Crime', 'Thriller']",500,en,28.714,1992-09-02,Reservoir Dogs,8.2,10257
"['Comedy', 'Music', 'Romance', 'Crime']",239,en,11.638,1959-03-19,Some Like It Hot,8.2,2285
"['Action', 'Comedy', 'Drama', 'Romance']",28422,ja,6.826,2009-01-31,Love Exposure,8.2,250
"['Drama', 'History', 'Action']",437068,ko,9.076,2017-08-02,A Taxi Driver,8.2,407
"['Drama', 'History']",895,ru,14.933,1966-12-16,Andrei Rublev,8.2,448
"['Animation', 'Romance', 'Fantasy', 'Drama']",568160,ja,127.984,2019-06-19,Weathering with You,8.2,867
"['Comedy', 'Drama', 'Romance']",449176,en,57.965,2018-02-16,"Love, Simon",8.2,4786
"['Drama', 'Comedy', 'War']",935,en,14.156,1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.2,3876
"['Drama', 'Romance']",289,en,16.029,1942-11-26,Casablanca,8.2,3584
"['Drama', 'Thriller', 'Crime']",1422,en,25.892,2006-10-05,The Departed,8.2,10822
"['Action', 'Adventure', 'Drama']",9764,ru,7.698,1975-08-02,Dersu Uzala,8.2,263
"['Action', 'Crime', 'Drama', 'Thriller']",111,en,47.667,1983-12-09,Scarface,8.2,7918
"['Fantasy', 'Drama', 'Mystery']",14696,ja,7.174,1953-03-26,Ugetsu,8.1,309
"['Drama', 'History', 'War']",324786,en,90.641,2016-10-07,Hacksaw Ridge,8.1,9284
"['Action', 'Science Fiction']",603,en,42.047,1999-03-30,The Matrix,8.1,18706
"['Crime', 'Drama']",800,es,6.591,1950-12-09,The Young and the Damned,8.1,252
"['Comedy', 'Drama', 'Music']",654299,es,67.013,2019-12-24,Out Of The Clear Blue Sky,8.1,208
['Comedy'],55960,it,5.141,1956-08-14,"Toto, Peppino, and the Hussy",8.1,231
"['Drama', 'History']",1396,ru,13.812,1975-03-07,Mirror,8.1,527
"['Drama', 'Comedy', 'War']",55823,it,6.881,1959-10-28,The Great War,8.1,240
"['Romance', 'Adventure', 'Family']",458302,fr,17.809,2018-09-30,"Remi, Nobody's Boy",8.1,272
"['Comedy', 'War', 'Drama']",515001,en,44.958,2019-10-18,Jojo Rabbit,8.1,5630
"['Drama', 'History', 'TV Movie']",21634,en,14.103,2009-01-24,Prayers for Bobby,8.1,384
"['War', 'Drama', 'Romance']",426618,en,22.383,2018-09-14,Where Hands Touch,8.1,355
"['Horror', 'Music']",92060,en,9.234,1983-11-14,Michael Jackson's Thriller,8.1,347
['Comedy'],38288,it,5.262,1996-01-01,I Corti,8.1,311
"['Drama', 'War']",600,en,26.976,1987-06-26,Full Metal Jacket,8.1,7343
['Drama'],666,pt,7.27,1998-11-20,Central Station,8.1,523
"['Animation', 'Drama', 'Mystery']",339877,en,18.381,2017-06-22,Loving Vincent,8.1,1780
"['Drama', 'Action', 'Thriller', 'Crime']",832,de,13.092,1931-05-11,M,8.1,1303
['Drama'],489,en,22.756,1997-12-05,Good Will Hunting,8.1,8297
"['Crime', 'Drama']",359940,en,18.456,2017-11-10,"Three Billboards Outside Ebbing, Missouri",8.1,7515
['Drama'],334543,en,19.171,2016-01-20,Lion,8.1,5202
['Drama'],538362,it,7.181,2018-09-12,On My Skin,8.1,1567
"['Drama', 'Animation', 'Romance', 'War', 'History']",378108,ja,33.842,2016-11-12,In This Corner of the World,8.1,362
"['Fantasy', 'Adventure']",12445,en,100.087,2011-07-07,Harry Potter and the Deathly Hallows: Part 2,8.1,15266
"['Drama', 'Romance']",843,cn,16.45,2000-09-29,In the Mood for Love,8.1,1333
['Drama'],7345,en,17.151,2007-12-28,There Will Be Blood,8.1,4374
"['Animation', 'Drama', 'Fantasy']",149871,ja,9.774,2013-11-23,The Tale of the Princess Kaguya,8.1,1101
"['Drama', 'Western']",68718,en,40.26,2012-12-25,Django Unchained,8.1,20106
"['Horror', 'Science Fiction']",348,en,36.729,1979-05-25,Alien,8.1,10101
['Drama'],147,fr,11.617,1959-06-03,The 400 Blows,8.1,1313
"['Drama', 'Romance']",19542,en,10.028,1948-07-22,The Red Shoes,8.1,353
"['Drama', 'History']",1955,en,14.342,1980-10-02,The Elephant Man,8.1,2206
['Drama'],655,en,13.468,1984-08-23,"Paris, Texas",8.1,1016
"['Drama', 'Romance']",594634,de,93.762,2019-10-10,Close to the Horizon,8.1,307
['Comedy'],554596,es,88.608,2019-03-15,No Manches Frida 2,8.1,513
['Drama'],552532,en,24.612,2020-01-27,Charm City Kings,8.1,201
"['Family', 'Adventure', 'Drama']",522518,en,29.857,2019-05-03,A Dog's Journey,8.1,828
['Drama'],406,fr,11.84,1995-05-31,La Haine,8.1,2395
"['Comedy', 'Drama']",37165,en,21.589,1998-06-04,The Truman Show,8.1,12773
"['Romance', 'Animation', 'Fantasy']",92321,ja,0.6,2011-09-17,Hotarubi no Mori e,8.1,411
"['Action', 'Adventure', 'Comedy', 'Drama', 'War']",961,en,13.514,1926-12-25,The General,8.1,700
"['Fantasy', 'Animation', 'Family']",8392,ja,35.41,1988-04-16,My Neighbor Totoro,8.1,5229
"['Drama', 'Romance']",26022,hi,16.029,2010-02-11,My Name Is Khan,8.1,815
"['Animation', 'Drama', 'Romance', 'Fantasy']",667520,ja,74.394,2020-06-18,A Whisker Away,8.1,683
"['Drama', 'Thriller']",264644,en,18.438,2015-10-16,Room,8.1,7134
"['Action', 'Crime', 'Drama', 'Thriller']",9702,en,39.008,1993-02-05,Bound by Honor,8.1,701
"['Drama', 'History']",307,it,7.242,1945-09-27,"Rome, Open City",8.1,506
"['Science Fiction', 'Drama', 'Romance']",38,en,30.851,2004-03-19,Eternal Sunshine of the Spotless Mind,8.1,10684
"['Drama', 'Fantasy', 'Action']",518068,ko,46.348,2018-08-01,Along with the Gods: The Last 49 Days,8.1,200
['Drama'],19426,it,13.087,1957-10-03,Nights of Cabiria,8.1,443
"['Drama', 'War', 'Mystery']",46738,fr,10.725,2010-09-04,Incendies,8.1,1533
['Drama'],103663,da,13.622,2012-09-24,The Hunt,8.1,2307
"['Action', 'Drama', 'History']",11645,ja,13.177,1985-06-01,Ran,8.1,912
"['Crime', 'Drama', 'Thriller']",11423,ko,17.867,2003-05-02,Memories of Murder,8.1,2044
"['Drama', 'Romance']",4348,en,33.815,2005-09-16,Pride & Prejudice,8.1,5508
"['Drama', 'Science Fiction', 'TV Movie']",282848,en,10.01,2013-12-25,Doctor Who: The Time of the Doctor,8.1,229
"['Drama', 'History']",780,fr,12.604,1928-04-21,The Passion of Joan of Arc,8.1,520
"['Drama', 'Thriller']",582,de,10.17,2006-03-15,The Lives of Others,8.1,2443
['Drama'],310569,pt,7.306,2015-02-08,The Second Mother,8.1,504
"['Music', 'Romance', 'TV Movie']",599521,en,22.023,2020-02-14,Z-O-M-B-I-E-S 2,8.1,338
"['Drama', 'Thriller', 'Adventure']",204,fr,13.604,1953-04-22,The Wages of Fear,8.1,508
"['Animation', 'Action', 'Comedy', 'Fantasy', 'Adventure']",505262,ja,136.662,2018-08-03,My Hero Academia: Two Heroes,8.1,544
"['Crime', 'Drama']",8422,it,7.297,1960-10-06,Rocco and His Brothers,8.1,302
"['Comedy', 'Romance']",28978,en,9.472,1928-01-06,The Circus,8.1,451
"['Mystery', 'Drama']",15,en,16.896,1941-04-17,Citizen Kane,8.1,3651
"['Science Fiction', 'Mystery', 'Adventure']",62,en,29.633,1968-04-02,2001: A Space Odyssey,8.1,8146
"['Crime', 'Drama']",654,en,12.34,1954-06-22,On the Waterfront,8.1,977
"['Drama', 'History', 'War']",387,de,15.828,1981-09-16,Das Boot,8.1,1385
"['Drama', 'Action', 'Crime']",7347,pt,24.917,2007-10-12,Elite Squad,8.1,1436
"['Drama', 'Family', 'Comedy']",400928,en,46.267,2017-04-12,Gifted,8.1,3628
"['Comedy', 'Crime', 'Drama']",9277,en,13.937,1973-12-25,The Sting,8.1,1628
['Drama'],2517,ja,6.054,2004-08-07,Nobody Knows,8.1,258
